"","MAL13P1.124","MAL13P1.179","MAL13P1.206","MAL13P1.262","MAL7P1.171","MAL7P1.18","MAL7P1.29","MAL7P1.75","MAL7P1.94","MAL8P1.105","MAL8P1.91","PF07_0074","PF08_0032","PF10_0084","PF10_0085","PF10_0111","PF10_0191","PF10_0374","PF11_0079","PF11_0087","PF11_0090","PF11_0162","PF11_0214","PF11_0260","PF11_0290","PF11_0435","PF11_0527","PF13_0032","PF13_0095","PF13_0170","PF13_0219","PF14_0041","PF14_0071","PF14_0112","PF14_0360","PF14_0499","PF14_0552","PF14_0593","PF14_0642","PF14_0713","PF14_0730","PFA0330w","PFA0430c","PFB0175c","PFB0295w","PFB0920w","PFC0090w","PFC0375c","PFC0400w","PFC0760c","PFC0965w","PFC0980c","PFD0470c","PFD0545w","PFE0165w","PFE0430w","PFE0450w","PFE0815w","PFE1255w","PFE1280w","PFE1340w","PFE1390w","PFF0200c","PFF0490w","PFF0595c","PFF0875w","PFF0965c","PFF1150w","PFF1280w","PFI1425w","PFL0580w","PFL1270w","PFL2055w","PFL2200w","PFL2520w","D_class","Class","Compound"
"ACTTP5","-0.027316587"," 0.3110504492","-0.84301290"," 0.9088081485"," 1.7589585086","-0.065142651","-0.345610013","-0.755973024","-0.504935400"," 0.126381530","-0.126929387","-0.329116191"," 0.0992082077","-0.638813551","-0.180454049","-0.330549868"," 1.196035785","-0.230980675","-0.196548145"," 0.826672943"," 0.706940463","-0.222687062"," 0.315384374","-0.1171552495","-0.713872028"," 0.700895802","-0.41246748"," 0.374782289","-0.11218169","-0.474843514"," 0.749434146"," 0.016522061","-0.0979932438"," 1.405340e-01","-0.496010032"," 0.602983756"," 0.1311795705"," 0.1124342728","-0.169054684","-0.271164784"," 1.355824243","-0.163155933"," 0.606732612"," 0.305724351","-0.1688868393","-0.113886181","-0.483878528"," 0.216009901","-0.229487896","-0.027218233","-0.893154781"," 0.139003096"," 0.389050712"," 1.156985979","-1.641621932"," 0.507265175"," 0.523071746","-0.286613800"," 0.2468040084","-1.004229432"," 1.062842e-02"," 0.0863522231"," 0.27602046","-0.526414553"," 0.312682394","-0.7183068260","-0.338780739"," 0.213815151","-0.153506930","-0.113621013"," 0.199079675","-0.819587446","-0.691063453"," 0.17532678","-1.522531413",2,2,"ACTd"
"ML_7_H1"," 0.409124218","-0.0005416435"," 0.73024941","-0.1244146313","-0.2273399040"," 0.632954151"," 0.166809514","-0.283183109","-0.262173633"," 0.009156192","-0.550546431","-0.011927297"," 0.0365191483"," 0.650408869","-1.211730566"," 0.571617868","-0.246186088"," 0.429883626","-0.488758760"," 0.830442205","-0.473622115"," 0.216839594"," 0.509459074","-0.6594917718"," 0.208474426"," 0.464243833","-0.22909618","-0.380534941"," 0.32858807"," 0.286811063","-0.651797419"," 0.126554535"," 0.0220144752","-4.451680e-01"," 0.529313875"," 0.192351424"," 0.4964807376"," 0.5090079699"," 1.381613681"," 0.182821488","-1.034930999"," 0.112542775"," 0.923253973","-0.620469190","-0.9277023397","-0.852103192","-0.144204774","-0.102516664","-1.170097348"," 0.278858958"," 0.073648493"," 0.656873367"," 1.051945582"," 0.498882345","-0.163281493","-0.789166281","-0.328237371"," 0.307033474"," 0.1349911026","-0.788327959"," 2.475465e-01","-0.5488825432","-0.11943690"," 0.908972098","-0.175968198","-0.5270685025"," 0.036587662"," 0.268154668","-0.002444691"," 0.006273720"," 0.543334485"," 0.885055020","-0.008355227"," 0.76929046"," 0.319219353",3,3,"ML_7"
"ML_7_H2"," 0.289426667","-0.0151109074"," 1.03413592"," 0.0514703070","-0.1617336985"," 0.663620520","-0.210674660","-0.129984659"," 0.009530188"," 0.220179149","-0.925955978"," 0.118442476"," 0.5250246091"," 0.787211308","-0.720295320"," 0.587889281"," 0.239548035","-0.771564077","-0.606171269"," 0.972002181","-0.604932611"," 0.155531423"," 0.321909105","-0.7273651437","-0.089542080"," 0.700419903"," 0.01026495","-0.195098816"," 0.23222129"," 0.330525932","-0.360244118","-0.515704705"," 0.0290571433","-7.605009e-01"," 0.267217676"," 0.245416413"," 0.3475569569"," 0.5832715422"," 0.554136004"," 0.493172238","-0.597597940"," 0.110777540"," 0.974641776","-0.748146686","-1.1307077494","-0.857354611","-0.338604673","-0.067523754","-1.202790976"," 0.318116496","-0.060170474"," 0.495204194"," 1.357396584"," 0.476630155"," 0.289974538","-0.441921460","-0.331284288","-0.156452290"," 0.1005605306","-0.981579835"," 2.405135e-01","-0.6066606283","-0.07693573"," 0.390192034","-0.199453023","-0.2915469404"," 0.013916170"," 0.266985138","-0.452815216","-0.066152719"," 0.478752651"," 1.051723697","-0.331524896"," 0.67288379"," 0.281208645",3,3,"ML_7"
"ML_7_H4"," 0.318901060"," 0.2964812339"," 0.91656917","-0.1430563105","-0.2058749238"," 0.275564868"," 0.028096407","-0.601936462","-0.070465804"," 0.080349376","-0.547822489","-0.093388293"," 0.1050374574"," 0.470485039","-0.519368115"," 0.544740200","-0.181735372","-0.073458398","-0.816578738"," 0.802190426","-0.405193966"," 0.211657490"," 0.328421925","-0.8934721568"," 0.306688898"," 0.744104562"," 0.27513931","-0.441591622"," 0.26670151","-0.015455475","-0.342030066"," 0.401182632"," 0.1429218295","-5.905855e-01"," 0.298406005"," 0.186933996"," 0.4680497070"," 0.3587773880"," 0.546061286"," 0.133268916","-0.859856909","-0.121917335"," 0.753260414","-0.402749470","-0.9265466196","-0.864147999","-0.372847272","-0.032763126","-1.235541646"," 0.155998063"," 0.038822155"," 0.450501601"," 0.996883997"," 0.137477674"," 0.213451872","-0.387677248","-0.303406842","-0.201303135"," 0.1142977010","-0.712542990"," 4.272374e-01","-0.5577325993","-0.11370141"," 0.695763403","-0.333990499","-0.5193108223"," 0.002945456"," 0.368240967","-0.325850227","-0.240445799"," 0.283255920"," 0.772509814"," 0.054535993"," 0.69849072"," 0.230595696",3,3,"ML_7"
"ML_7_H6"," 0.286227967"," 0.2662182279"," 1.03802016"," 0.2423608064"," 0.0853227855"," 0.106295221","-0.637752250"," 0.041894735"," 0.311798572"," 0.152394557","-1.072363174","-0.580935533","-0.2339859527"," 1.228455315","-0.580113902"," 0.220283225"," 0.209148237","-1.764416657","-0.549712449"," 0.147572239","-0.394548099"," 0.152569113"," 0.306055111","-0.4512291488","-0.015150452"," 0.717952340"," 0.12159641","-0.279930869"," 0.42339367"," 0.536312885","-0.451319525"," 0.189829897"," 0.0497333649","-4.800860e-01"," 0.431000704"," 0.037474886"," 0.4224166734"," 0.2978964138","-0.505467631","-0.182076438","-1.050083685","-0.098053448"," 0.882654191","-0.330239232","-0.8466543611","-1.351453812","-0.319259023","-0.139796799","-0.710279012"," 0.133272008"," 0.173314478"," 0.482686940"," 0.868033005"," 0.345155038"," 0.219724599","-0.316791699","-0.242099801","-1.021341058","-0.2559079964","-0.060022757"," 9.014643e-01","-0.9221943670","-0.11021971"," 0.270658086","-0.055082295","-0.2440992810"," 0.104381456"," 0.278779186","-0.339529391"," 0.689013262"," 0.354230052"," 0.980810333"," 0.598337250"," 0.68136782"," 0.653656174",3,3,"ML_7"
"ML_7_H8"," 0.622939985","-0.3645635330"," 1.07607143"," 0.0373611352","-0.2757285699"," 0.557542475","-0.384610293","-0.334271435","-0.461735523","-0.107040015","-0.842474843"," 0.165536393"," 0.7176759704"," 0.735580088","-0.882282494"," 0.403319084","-0.862672415"," 0.130867043","-0.456213418"," 1.015098814","-0.197310550"," 0.150747516"," 0.368481582","-0.9057537583","-0.083541792"," 0.325631903","-0.19370817","-0.036647826"," 0.45864650","-0.055853861","-1.062262709"," 0.409373825","-0.2909634298","-3.493134e-01"," 0.277691894"," 0.461504280"," 0.6426841392"," 0.7294473121"," 1.021705060"," 0.436365522","-1.257125588","-0.317721859"," 1.138935213","-0.591445013","-1.0895598986","-0.848971006","-0.692163884","-0.006796874","-1.291195056"," 0.256157391","-0.087491698"," 0.923391340"," 1.173670548"," 0.297203759","-0.282261152","-0.363785258"," 0.012336529"," 0.017416062","-0.0050916830","-0.654274469","-1.581374e-01","-0.5785350741","-0.59523632"," 0.305776371","-0.682676107","-0.3729004376"," 0.132604737"," 0.181241890","-0.616983869","-0.141837410"," 0.395662710"," 0.741733735","-0.429432973"," 0.62349574"," 0.100952557",3,3,"ML_7"
"ML_7_H10"," 0.031672403"," 0.1091032431"," 0.76391411","-0.0866852967"," 0.2676309602","-0.277833182","-0.284893424","-1.095684195","-0.472691613","-0.225480141","-0.266693390","-0.328343084"," 0.1084361036","-0.239221329","-0.203755235"," 0.306431697","-0.279742649"," 0.113031397"," 0.001412483"," 0.499226751","-0.319122427"," 0.048759277","-0.613944606","-0.1253045338","-0.082943995"," 0.050599313","-0.09822164"," 0.045756509"," 0.37150330"," 0.070226418"," 0.584015666","-0.107343417","-0.2352898889","-1.912675e-01","-0.110635719"," 0.108621899"," 0.0508685314"," 0.1772376697"," 0.811057416","-0.013715842","-0.024649326","-0.121146763"," 0.227851513"," 0.053997452","-0.4534516042"," 0.079236512","-0.239386693"," 0.180771152","-0.331160969"," 0.184197782"," 0.137604139","-0.063395368"," 0.123998360"," 0.023019484"," 0.463074033","-0.442357266","-0.174509032"," 0.196531148","-0.4268061116","-0.547102285"," 4.449116e-01"," 0.2382384539"," 0.08441433"," 0.278661632"," 0.033947576","-0.4013984341","-0.240007799"," 0.664940035","-0.536041274","-0.441274937"," 0.330279442"," 0.052514511","-0.146350872"," 0.00460641","-0.903517283",3,3,"ML_7"
"ML_7_H12","-0.028342590","-0.2452678539"," 0.18441603","-0.0298477317"," 0.3932845271","-0.663256937","-0.547026517","-0.664382691","-0.576443598"," 0.049499195","-0.244013548","-0.196534826"," 0.0537100090","-0.143768119","-0.528208272"," 0.416217943","-0.756505620","-0.211389295","-0.212604724"," 0.922826256","-0.606721240","-0.076409470","-0.619337119","-0.0105086399","-0.438193967"," 0.379436571"," 0.16686363","-0.104775552"," 0.45639820","-0.003164535"," 0.036435451"," 0.353945285","-0.1995876659"," 1.234333e-01","-0.358349872"," 0.174951233"," 0.1989905249"," 0.0317914625"," 0.320529774","-0.480901590"," 0.587506623","-0.319293822","-0.001956810"," 0.013741853","-0.2672222332"," 0.014704928"," 0.044308914"," 0.453364394","-0.069227063","-0.141513899"," 0.003999854","-0.103703679","-0.081238093"," 0.347622336","-0.348654145","-0.616879131"," 0.067595522","-0.162205019","-0.4674846110","-0.448145872"," 4.336043e-01"," 0.3421999305","-0.04290429"," 0.352308697"," 0.143487040","-0.3772800676","-0.418539798"," 0.775359811","-0.525374507","-0.277499800"," 0.335266933","-0.315543245","-0.184396550"," 0.29462643","-1.452819761",3,3,"ML_7"
"W7_H1","-0.140843916"," 0.1200263051"," 1.07372771"," 0.2895592693","-0.1900077936"," 0.141971935","-0.536086089","-0.321159320"," 0.145640562","-0.399406663"," 0.063559340"," 0.271906673","-0.3451140986"," 0.702978144","-0.757747938"," 0.302822530"," 0.199260843","-0.256344861","-0.556193720"," 1.090731751","-0.228758339"," 0.221904038"," 0.372782881","-0.2028182501"," 0.315713011","-0.037545005","-0.24931613","-0.615600863"," 0.07777226"," 0.088545420","-0.742088287"," 0.253368687"," 0.4095480067","-1.283533e-01"," 0.102938370","-0.019197590"," 0.3913724270"," 0.2715840478"," 0.360041774"," 0.030031611","-0.625700123","-0.598702068"," 0.395933365","-0.197809763","-0.5524961969","-0.772896776"," 0.103828210","-0.264740523","-0.911240055","-0.418409027","-0.383821501"," 0.474226992"," 0.064369248"," 0.110721226"," 0.310707615","-0.288785321","-0.373962589"," 0.043662861"," 0.0279014531","-0.514028184"," 4.166988e-01","-0.2139118202","-0.29445186"," 0.267426934"," 0.070960538","-0.5988300845","-0.006204569"," 0.981640953"," 0.277428207","-0.614699385"," 0.266513959"," 1.308383776"," 0.514590579"," 0.50871613"," 0.790651074",4,3,"W_7"
"W7_H2","-0.069354853"," 0.1671173559"," 1.00980174"," 0.3195365625","-0.1275046403"," 0.029343835","-0.542138896","-0.276907741"," 0.515985536","-0.200157337","-1.334929888"," 0.332747932","-0.2907364331"," 0.982767472","-0.373211506"," 0.099379211"," 0.200006628","-0.430419654","-0.567980871"," 1.241168517"," 0.083906187"," 0.039429935"," 0.144638550","-0.2479415065","-0.095179703"," 0.279203807"," 0.27835493","-0.452209575"," 0.29534199"," 0.218632665","-0.415011950"," 0.100701502"," 0.3768251942","-1.646073e-01"," 0.046152130"," 0.130203006"," 0.3584842280"," 0.3404046390","-0.160511091"," 0.033753002","-0.021808266","-0.313130563"," 0.302917361","-0.306028404","-0.6613862193","-0.928064137","-0.260154793","-0.082389617","-0.592913182","-0.204435586","-0.193930359"," 0.446417380"," 0.041925184"," 0.511474816"," 0.288414534","-0.307505225","-0.427203887","-0.119036174"," 0.1487789250","-0.579880111","-6.024883e-01","-0.5611080404","-0.15259025"," 0.192047255"," 0.167141631","-0.3281168998"," 0.081421365"," 0.581332226"," 0.069193864"," 0.195683444"," 0.500656884"," 1.555803437"," 0.439395940"," 0.81311082"," 0.080678511",4,3,"W_7"
"W7_H4"," 0.626128179","-0.2755502495"," 1.05205749","-0.2427296339","-0.1344862559"," 0.754698487"," 0.310179417","-0.292562450","-0.097420120","-0.091825506","-0.828949459","-0.077716981"," 0.3904320814"," 0.720041283","-0.542282841"," 0.649738805"," 0.079206360"," 0.651522919","-0.786596017"," 1.093298937","-0.576484554"," 0.454964639"," 0.625547528","-1.5543827036"," 0.215464833"," 0.930868101"," 0.20379192","-0.318024728"," 0.52413452"," 0.116438661","-0.460690752"," 0.385298468","-0.3049667113","-6.513317e-01"," 0.715230721"," 0.141807970"," 0.4196438222"," 0.7299856759"," 0.851228884"," 0.116141802","-0.852083801"," 0.017734237"," 1.121516294","-0.548663266","-0.9661500880","-1.129833463","-0.365511050"," 0.124534315","-1.408097371"," 0.357363991"," 0.142541701"," 0.822425598"," 1.757089749"," 0.469006997","-0.222041401","-0.465039353","-0.025494322"," 0.184211039","-0.0927148918","-0.860144089"," 1.786248e-01","-0.5268126795"," 0.07580071"," 0.818243615","-0.474287000","-0.6989806146","-0.034601336"," 0.063941046","-0.581497729"," 0.105339412"," 0.536567349"," 0.980782135","-0.205017875"," 0.64409164"," 0.681505183",4,3,"W_7"
