"","names","coefficients","sign","antilog"
"44","MAL13P1.262",0.325651551763357,"POS",1.38493270742663
"45","PFL0980w",0.322013911022254,"POS",1.37990397169859
"46","PFF0610c",0.316678358180954,"POS",1.37256102789399
"47","PFC0980c",0.310376214754592,"POS",1.36393815127692
"48","PF10_0085",0.310357112112497,"POS",1.36391209670343
"49","PFA0330w",0.310089442519118,"POS",1.36354706776285
"50","PFA0430c",0.304088771105012,"POS",1.3553893701615
"51","PF14_0138",0.299360315266563,"POS",1.34899559962441
"52","PF08_0069",0.291612790346654,"POS",1.33858460439782
"53","PFL2200w",0.286901965555863,"POS",1.33229359641114
"54","MAL13P1.137",0.281412914680669,"POS",1.32500060319643
"55","PFL0625c",0.279174593933217,"POS",1.32203814356019
"56","PFE0450w",0.276653436172538,"POS",1.31870927489942
"57","PF10_0380",0.271980592553295,"POS",1.31256152759603
"58","PF14_0384",0.257247579712186,"POS",1.29336529813201
"59","PF13_0090",0.254402172784531,"POS",1.28969037835327
"60","MAL13P1.40",0.254206288712577,"POS",1.28943777329186
"61","PF14_0214",0.250673560231937,"POS",1.28489057648113
"62","MAL8P1.105",0.243593123332191,"POS",1.27582512139548
"63","PFL1135c",0.236266065374406,"POS",1.26651124012949
"64","PF07_0079",0.235388319996993,"POS",1.26540005348384
"65","PF10_0136",0.233141782681129,"POS",1.26256047584701
"66","PFE0165w",0.229249226455214,"POS",1.25765544096162
"67","MAL13P1.135",0.218593490138147,"POS",1.24432534333763
"68","PFA0180w",0.213697204001999,"POS",1.23824766158663
"69","PF14_0499",0.210671487433534,"POS",1.23450673746316
"70","MAL7P1.94",0.21024177614845,"POS",1.23397636994717
"71","PFI0965w",0.20809130964028,"POS",1.23132559631323
"72","PFE0815w",0.207193088723978,"POS",1.23022009047641
"73","PF10_0020",0.202198795129614,"POS",1.22409132731929
"74","PF11_0090",0.198133931961873,"POS",1.21912566277972
"75","PF10_0111",0.194489407298847,"POS",1.21469061596221
"76","PFC0400w",0.177205117083532,"POS",1.19387595236732
"77","PFI1425w",0.171836680996756,"POS",1.18748387869267
"78","PFE1340w",0.169770109195759,"POS",1.18503239195398
"79","MAL8P1.91",0.160431474497972,"POS",1.17401732025785
"80","PF10_0307",0.16004655234513,"POS",1.17356550194648
"81","PF10_0243",0.159666929753498,"POS",1.17312007452169
"82","PFI0500w",0.153248273148759,"POS",1.16561433376262
"83","PF11_0435",0.152553386748963,"POS",1.16480464556792
"84","MAL13P1.321",0.140075841602117,"POS",1.15036104077325
"85","PFB0923c",0.132984156677252,"POS",1.14223190143887
"86","PF13_0032",0.130741145329404,"POS",1.13967273351637
"87","PF14_0730",0.129487370364363,"POS",1.13824473575573
"88","PFL2485c",0.128782006685617,"POS",1.13744214235499
"89","PFL1680w",0.127901092017407,"POS",1.1364405940916
"90","PFD0470c",0.126134641218583,"POS",1.13443489969812
"91","PFF1280w",0.123743209103714,"POS",1.13172521694931
"92","PFL2120w",0.123150719341118,"POS",1.13105487994771
"93","PF14_0112",0.120199817581947,"POS",1.12772216778423
"94","PFL0580w",0.117639351382044,"POS",1.12483836680372
"95","PFC0375c",0.110363091854014,"POS",1.11668345552462
"96","PF13_0042",0.107927438440653,"POS",1.11396691127764
"97","PFL0685w",0.105948284995355,"POS",1.11176438011975
"98","PFI0905w",0.100813230595625,"POS",1.10607004242779
"99","PF13_0135",0.0985170394993558,"POS",1.10353320788757
"100","PF11_0214",0.0956579679460953,"POS",1.10038263348979
