X;IonoTP1;IonoTP2;IonoTP3;IonoTP4;IonoTP5;IonoTP1c;IonoTP2c;IonoTP3c;IonoTP4c;IonoTP5c
PF3D7_0900700;0.3696385415;0.4443870395;0.891685005;0.2739408255;0.4966509465;0.4067947545;0.475564312;0.3851399975;0.324681529;0.487167702
PF3D7_0901200;0.781663939;0.868044652;0.958102102;0.91798459;0.978098325;0.917240581;0.913747995;1.002384245;1.004547019;1.130614971
PF3D7_0901900;0.2611779935;0.239036163;0.217622019;0.217374872;0.219607562;0.265517008;0.228436999;0.196395891;0.2480865145;0.245030887
PF3D7_0902000;0.2786314135;0.257174416;0.2366992705;0.2181829465;0.2914023515;0.2846853335;0.27100935;0.2525090025;0.2494421765;0.3376409695
PF3D7_0902100;3.1715361485;4.2171421885;5.4575080435;5.5838672265;7.691332772;3.9997935535;4.240621391;5.3817575965;5.922895959;7.138694992
PF3D7_0902200;0.6850467995;0.660102611;0.6542791685;0.702225855;0.7500443005;0.617646498;0.615222376;0.53243692;0.600559157;0.779468321
PF3D7_0902300;0.3752485855;0.3757208285;1.172897876;1.1030360175;1.8413249845;0.3180524525;0.388862078;0.867840314;1.914197589;3.484454923
PF3D7_0902500;0.0748003805;0.0822698995;0.146965523;0.2626276275;0.57182434;0.0979715105;0.086183047;0.163238147;0.4473691175;1.1016742855
PF3D7_0902600;0.2131810875;0.239683968;0.2501240115;0.2052535845;0.229743304;0.310953058;0.2611450205;0.2378430745;0.211483578;0.287477181
PF3D7_0902700;1.610078145;1.639567814;1.329755351;0.9777828325;0.8091694345;1.680424418;1.663436698;1.336512314;0.883892901;0.994593861
PF3D7_0902800;2.844907867;2.4875309015;1.836362503;1.2371781495;1.1977058865;2.2547646755;2.1504228295;1.9754366335;1.0669075685;0.8469964945
PF3D7_0903200;2.141784282;1.936905561;1.317037134;0.951924108;0.729772867;1.921093645;1.703932384;1.657887339;0.878470275;0.665635063
PF3D7_0903300;3.8562089436;4.0645217774;3.8807375908;2.9517729168;2.0632975824;2.97819196;3.6205187832;3.3803048842;2.1104976934;1.50877282425
PF3D7_0903400;0.60962308775;0.58366284;0.55712649975;0.453739726;0.41134186825;0.5264194015;0.53449067425;0.5793041075;0.487361216;0.50308504425
PF3D7_0903500;0.845244285666667;0.723802387333333;0.682070753;0.539800782;0.564785617333333;0.691480125;0.7097122165;0.680584025;0.59716998;0.668850688
PF3D7_0903600;0.8658143975;0.9373586205;1.560802079;3.417391539;3.9799647935;0.7354962745;0.911671291;1.869586818;4.4831809035;6.959262826
PF3D7_0903700;2.897268053;2.535467618;2.041266242;1.670311624;1.56597088;2.6949264645;2.378859859;2.1252841575;1.2790690005;1.252165709
PF3D7_0903800;0.4325955345;0.598993991333333;0.960928382;0.3070722965;0.5954743585;0.562744589333333;0.605358054666667;0.374937602;0.385008589;0.640553158666667
PF3D7_0903900;0.830284229;0.75403282;0.552533834;0.449295255;0.353061412;0.938538716;0.767340673;0.469309665;0.356539648;0.358864131
PF3D7_0904000;1.2204929065;1.0338800325;0.84434517;0.7280846035;0.5870279215;1.0421897145;0.9843558145;0.9265040025;0.679187687;0.6038949885
PF3D7_0904100;1.294877688;1.24074238433333;1.15923765533333;0.858186267;0.770315784666667;1.118863058;1.17748892433333;1.08017740966667;0.823791830333333;0.776895808
PF3D7_0904200;0.885137803;2.706485404;3.927088332;1.228289185;4.050915025;1.093305263;2.017514007;1.472969154;1.754229256;3.735273852
PF3D7_0904300;0.731381477;0.719051904333333;0.740480118666667;0.443908019333333;0.5747805955;0.6201312725;0.737920764;0.424674239;0.5280311175;0.7042225945
PF3D7_0904400;2.474645923;1.891559989;1.650535816;1.121621989;1.027087679;2.327178486;2.144192809;1.47041859;0.935408157;0.875937151
PF3D7_0904500;1.214259473;0.934119689;0.777221517;0.57535653;0.413875813;1.178497886;0.938668384;0.735846974;0.437879491;0.370440387
PF3D7_0904600;0.969911615;1.07317956133333;1.30526111766667;1.504115544;1.823305947;0.855239266;1.00408447833333;1.333536594;1.59606839166667;2.49339823133333
PF3D7_0904700;2.108124024;2.624863344;2.186112181;1.874757146;1.277102454;2.193709904;1.670705116;2.156528899;1.218741921;0.941535987
PF3D7_0904800;2.2477513855;2.103388728;1.7127135775;1.5297048625;1.375925847;2.1525334935;1.8290534645;1.9174105995;1.3231280385;1.0148523175
PF3D7_0904900;2.06230880525;2.1166685565;1.8904146405;1.35717874425;1.1394254365;1.76703692125;1.96351988375;1.83993616;1.116050382;0.9410536485
PF3D7_0905000;1.107045638;1.167325719;0.990604095;0.762832245;0.726394282;1.049289135;1.009276203;0.808538936;0.622249764;0.710010737
PF3D7_0905100;1.137589105;1.034203925;1.06302704375;1.0068739035;1.28005872225;1.00385304225;1.008757019;1.186664809;1.061484922;1.4229155605
PF3D7_0905200;0.4905658255;0.46317307;0.423939006;0.3854565555;0.4772241405;0.467849478;0.467257503;0.4865261755;0.446013451;0.465944541
PF3D7_0905300;0.638047238;0.807439859444444;1.09313456411111;0.6516397351;1.37845983722222;0.622717482857143;1.026928154125;0.772547187333333;0.6991159195;1.39469838975
PF3D7_0905400;2.851764443;2.773856091;3.2021525415;3.599210587;3.879452234;2.5813364125;2.7568192205;4.240365911;3.7355320965;3.290552486
PF3D7_0905500;2.816234385;2.790698763;3.493257196;5.087703163;4.898938261;2.832654622;2.912571819;3.442029151;4.545541291;5.213176466
PF3D7_0905600;0.143367398;0.176200114;0.611885288;1.1127330725;3.2763760725;0.469979287;0.3026790275;0.468672005;1.102832707;3.623369989
PF3D7_0905800;0.928148025;0.8421328575;0.835866373;0.842832641;0.9426232845;0.844826813;0.957358722;0.867202611;0.8411895095;1.1113211615
PF3D7_0905900;1.2080261515;1.1984198015;1.1940948485;1.153137332;1.0448252365;1.162169342;1.069500532;1.11588575;0.9692997645;0.729304518
PF3D7_0906000;0.853555455666667;0.834359333666667;0.753669330333333;0.544110561333333;0.605328551333333;0.871331167333333;0.860099921666667;0.80683851;0.653430052333333;0.634765044666667
PF3D7_0906100;1.665555085;1.404418465;1.305732155;1.076369234;0.930798237;1.516428578;1.383082218;1.221735489;0.909650549;0.845067114
PF3D7_0906200;1.241686298;1.183520566;1.206106425;1.011722447;0.8454891335;1.1188630585;1.302090847;1.219822529;0.907617039;0.8180558385
PF3D7_0906300;0.3889619655;0.397745838;0.467039474;0.311920816;0.395293622;0.4238332865;0.500484693;0.3296645455;0.274521961;0.458227032
PF3D7_0906400;0.369638541;0.563581199;0.619657508;0.4800024995;0.815926554;0.619066357;0.557074782;0.4336013245;0.5565000785;0.922242177
PF3D7_0906500;0.6364265465;0.5726503595;0.579383295;0.9301058295;0.9865447615;0.603447742;0.494254596;0.842971957;0.9503204705;1.132544294
PF3D7_0906600;0.291721479;0.277256048;0.2416452245;0.2804054975;0.3995168405;0.2605474285;0.2627025485;0.269725532;0.365351451;0.589424675
PF3D7_0906800;0.6033897285;0.540908413;0.50660711;0.433941645;0.4240115425;0.5033463905;0.566939104;0.5343498615;0.4372016475;0.442792028
PF3D7_0906910;0.4238688245;0.3893245015;0.3765991605;0.304648036;0.3268774165;0.4536507005;0.3909387705;0.348156366;0.3680627845;0.3376409835
PF3D7_0907100;0.660321126666667;0.689685212333333;0.724464641;0.503167593333333;0.721889485666667;0.6510136015;0.637027724;0.595989269666667;0.539102392333333;0.695218845666667
PF3D7_0907200;1.0852288355;1.0753388385;1.1220252195;2.388699332;0.985700109;1.023731276;0.234667096;1.955031824;1.770497176;0.791044585
PF3D7_0907400;2.836804337;2.8742642195;2.887024566;3.074763479;2.539845986;2.516731952;2.5366890075;2.7004436;2.2178662735;1.4335271125
PF3D7_0907500;1.473567537;1.423852281;2.16208886;4.221436022;6.414230217;2.206488886;1.540911366;2.582478572;3.572174627;4.271640652
PF3D7_0907600;0.95557485;0.8751703765;0.7496654575;0.938186696;0.916439315;0.8256584665;0.901287801;0.766454074;0.7950969215;0.8161264575
PF3D7_0907700;1.158159242;1.036471215;1.004735466;1.058591304;0.898701757;1.239552658;1.17852724;1.067424442;0.977433765;0.891372198
PF3D7_0907900;1.446140638;1.43162587;1.13756966;0.766064591;0.625036938;1.497970161;1.065347124;0.915663957;0.570734549;0.53829621
PF3D7_0908000;2.600559835;2.392952887;2.443301731;2.686074444;2.642048014;2.496143789;2.094351908;2.809481582;2.129748117;2.160902249
