X;DHB4TP1.1;DHB4TP1.2;DHB4TP1.1t;DHB4TP2.1;DHB4TP2.2;DHB4TP2t;DHB4TP3.1;DHB4TP3.2;DHB4TP3t;DHB4TP1.1c;DHB4TP1.2c;DHB4TP1.1tc;DHB4TP1.2tc;DHB4TP2.1c;DHB4TP2.2c;DHB4TP2tc;DHB4TP3.1c;DHB4TP3.2c;DHB4TP3tc
PF3D7_0207000;0.916795507;0.8396233;1.11486255;1.519167915;1.657865292;0.963437256;1.059904674;1.519507852;1.111292117;0.860949178;1.072452602;0.244639655;0.082079998;1.544751438;1.586557321;1.032742415;1.87783972;2.550220138;2.377460242
PF3D7_0207100;0.316017575;0.153906595;0.083876239;-0.0507881;-0.030470943;0.251716326;0.182451788;0.281682272;0.395353789;0.030554103;0.308982635;-0.390993228;-0.174324781;0.533322825;0.470648511;0.399596762;1.412994646;1.248642908;1.1838063
PF3D7_0207200;-0.372643989;-0.405366868;-0.427678356;-0.654849569;-0.9883335;-0.610431945;-0.917201987;-1.239435281;-0.841218471;0.107446415;-0.044025041;-0.511000254;-0.283504322;0.063643111;0.012698167;-0.101020482;-0.162717409;-0.349126631;-0.260248414
PF3D7_0207300 ;-0.706482546;0.077166412;-0.071621156;-0.972180987;-0.637246768;-0.027779073;-0.160007525;-0.064153976;-0.242980018;-0.395521678;0.222413212;-0.029174745;-0.882560965;-0.329038576;-0.226345535;-0.274639111;-0.122814458;-0.299578988;-0.012811176
PF3D7_0207400;0.3414812955;0.3097809485;-0.0997547275;0.137436459;0.113936711;0.3022928165;0.3726023625;0.366437037;0.276878916;0.192435706;-0.4715248275;0.645767659;0.449016451;0.7795610585;0.9011837705;0.707135513;1.245295235;1.4791283445;1.2744129895
PF3D7_0207500;0.232370479;0.193797258;-0.247878149;0.003098983;-0.067925046;0.012153351;-0.08611945;-0.022251293;0.108667321;-0.271376873;0.312973999;0.800645859;0.57625934;0.870952562;0.77552213;0.465330492;0.980297885;1.301483676;1.144347925
PF3D7_0207600;0.832267712;0.738492948;-0.150789572;0.374004737;0.401772736;0.610292652;0.718881171;0.538634413;0.809231381;-0.992360127;0.501530229;1.136738626;1.16312703;1.519895601;1.552731912;1.396311303;2.716814167;3.124340101;3.042745294
PF3D7_0207700;-0.224377328;-0.022600039;0.518344868;0.31092345;0.429379172;-0.552645734;-0.801037372;-0.646416811;-0.984025528;1.523062237;0.840967221;0.399489134;0.535495842;1.132242571;1.427032477;0.434229996;0.855312829;1.509456059;0.818457033
PF3D7_0207800;-0.067350993;-0.081551653;-0.48323541;-0.398635538;-0.238278092;-0.306710089;-0.235084836;-0.412442981;-0.211195514;-0.183692862;-0.120789131;-0.095660646;-0.417566604;0.101796246;0.107466384;-0.02352951;0.333695605;0.461853386;0.073916133
PF3D7_0207900;0.146039101;0.028856998;0.274130043;0.191138959;-0.173796434;-0.055142561;-0.012171702;0.080496295;-0.115831476;-0.063452663;-0.32846851;-0.349740393;0.002229396;-0.08387048;-0.260085411;-0.217262406;0.091229199;0.190734037;-0.066335637
