X;dnadTP1.1;dnadTP1.2;dnadTP1.3;dnadTP1.1C;dnadTP1.2C;dnadTP1.3C;dnad2TP1.1;dnad2TP1.2;dnad2TP1.1C;dnad2TP1.2C
PF3D7_0614700;-0.5130345195;-0.279217976;-0.13594405;-0.230970724;-0.0768627305;0.167719478;-0.5527482655;-0.398882149;0.5984849345;0.5984849345
PF3D7_0614800;-0.1197923755;0.022517108;0.03288057;-0.051606484;-0.0499816895;-0.276284955;-0.373340903;-0.406694768;-0.3002661035;-0.3002661035
PF3D7_0614900;0.013564649;0.016057883;-0.0122089215;-0.0785412325;0.028551558;0.028311275;0.120050422;-0.7449630185;0.247086436;0.247086436
PF3D7_0615000;0.290021882;0.404777817;0.426700252;-0.362822168;-0.379865002;-0.25426082;0.483828643;-0.476778757;-0.035458451;-0.035458451
PF3D7_0615100;0.3062676655;0.4699855755;0.247555372;0.079804469;0.4629165825;0.4770071895;0.345586665;0.1221809095;0.2822476505;0.2822476505
PF3D7_0615200;-0.692368346;-0.764901818;-1.323799965;-0.435546717;-0.122079932;-0.370683232;-0.877684452;0.152084649;-0.893892282;-0.893892282
PF3D7_0615300;0.4666118465;0.545769204;0.6377641495;0.4342701125;0.323160908;0.2999297685;0.6475157365;0.7557117285;0.607797113;0.607797113
PF3D7_0615400;-0.92317198425;-0.7110340025;-0.6116212305;-0.67307012875;-0.2762687788;-0.168144216;-0.342804526;0.072952925;-0.2313270556;-0.2313270556
PF3D7_0615500;-0.055443855;0.046368243;-0.1313186605;0.5822693495;0.5065429235;0.416462685;0.3095636875;0.1411092655;0.56059141;0.56059141
PF3D7_0615600;-0.22535169375;-0.1735082315;-0.17823232675;0.071886622;-0.1139952655;-0.09785109575;-0.025341048;0.012431936;0.090168667;0.090168667
PF3D7_0615700;0.035949887;-0.074053039;0.123914717;-0.07449823;-0.237784874;-0.220223674;0.163796068;0.497542273;0.110286842;0.110286842
PF3D7_0615800;-0.2132455515;-0.1101431005;-0.4108868515;0.032700087;-0.033172775;-0.107967256;-0.600437753;-0.4640823075;-0.317799427;-0.317799427
PF3D7_0615900;-0.260156969333333;-0.142228536333333;0.070169849;0.256025538333333;-0.121475084333333;0.114699824333333;-0.297093312333333;-0.650570176;-0.145822260333333;-0.145822260333333
PF3D7_0616000;0.2315511585;0.229999196;0.2457356585;0.202563815;0.1458049055;0.289515513;-0.0444052155;0.247692472;-0.0896844895;-0.0896844895
PF3D7_0616200;0.3171498395;0.2075346925;0.3709248125;0.4944841485;0.2035947035;-0.00736135399999999;0.229713415;0.510074893;0.4664058175;0.4664058175
PF3D7_0616400;-0.468347285333333;-0.3221814495;-0.4298901825;-0.491265061333333;-0.182084775333333;-0.049768346;-0.201077841333333;0.140182808666667;-0.298426033666667;-0.298426033666667
PF3D7_0616500;-0.533427270666667;-0.159663070666667;-0.295560747;-0.091633412;0.034382585;0.144889902666667;-0.366978270333333;0.378126111333333;-0.41473454;-0.41473454
PF3D7_0616600;0.2020300315;0.3771621745;0.0381670435;0.2416663295;-0.015171018;0.212834447;0.1655003265;-0.5480128975;0.30254928;0.30254928
PF3D7_0616700;-0.2005206345;-0.3547821725;-0.486267305;-0.425155426;-0.2788697665;-0.2281463155;-0.580242354;-0.282003054;-0.4633574055;-0.4633574055
PF3D7_0616800;-0.3850191455;-0.3168124105;-0.0707395055;-0.4375161785;0.1839990515;0.0583151125;-0.4052703245;0.2699364485;0.0026014465;0.0026014465
PF3D7_0616900;0.9212877935;-0.027610983;0.3010918865;0.1974042115;0.06466079;0.150044325;0.0884144755;-0.0904664465;0.2912141495;0.2912141495
PF3D7_0617000;-0.25028692;0.1193054025;-0.255901375;-0.0087637535;0.066161613;0.120451831;-0.5508823585;-1.0402753415;-0.0616360575;-0.0616360575
PF3D7_0617100;-0.697576583;-0.7238854675;-0.776283119;-0.4333818635;-0.6737222975;-0.61530607;-0.986854387;-1.0891009015;-0.5644691615;-0.5644691615
PF3D7_0617200;-0.133968347;-0.1456834955;-0.187126698;0.1092383145;0.0793129685;0.173408024;-0.2217062655;-0.1545813455;0.00938061400000001;0.00938061400000001
PF3D7_0617300;0.302951127;0.088538317;-0.006741145;0.040447827;-0.588592048;-0.401062637;0.050312222;-0.085205749;-0.449415657;-0.449415657
PF3D7_0617400;-1.091635395;-0.783932888;-0.8150343185;-0.586967142;-0.47373414775;-0.56031545625;-1.176351587;-0.8916918115;-0.368977098;-0.368977098
PF3D7_0617500;-0.532255664;-0.50904162;-0.23269671;-0.403292756;-0.350089718;-0.534596013;-0.391997747;-0.553117264;0.073979552;0.073979552
PF3D7_0617600;-0.164547305;-0.096974554;0.001817261;0.462455035;0.333151645;0.151034954;0.226408069;0.290123187;0.819368555;0.819368555
PF3D7_0617700;0.023402129;-0.338160928;-0.099648716;-0.1194189;-0.093989448;-0.01119358;-0.6382967;-0.249492063;-0.122167294;-0.122167294
PF3D7_0617800;0.43895042;0.536250164;0.774661939;0.234608103;0.03442579;0.307376598;-0.271964213;-0.656984844;0.433755217;0.433755217
PF3D7_0617900;0.912536852;0.787915064;0.739263257;0.054494094;-0.21417028;-0.141150142;0.821360419;0.735173753;0.42557623;0.42557623
PF3D7_0618000;-0.5635711725;-0.3023706535;-0.256689098;-0.466299273;0.047422385;0.01471671;-0.436954398;0.041694484;-0.3073295395;-0.3073295395
PF3D7_0618100;-0.1270360915;-0.2076045285;-0.395866744;0.0751065155;0.037574684;-0.192071383;-0.098150034;0.2262583745;-0.360475499;-0.360475499
PF3D7_0618300;1.01904997;0.653754817;0.896524316;0.596455483;0.378224309;0.11997897;1.142124851;0.867808198;0.619487987;0.619487987
PF3D7_0618400;-0.191598707;-0.0070897435;0.1142688345;-0.1272746075;0.0391131255;0.038820352;0.0668530165;0.1969327945;0.163646664;0.163646664
PF3D7_0618500;-0.029010593;0.023330896;-0.018311423;-0.002244848;0.018831951;-0.035305977;0.026541765;-0.014916638;-0.017993469;-0.017993469
PF3D7_0618600;-0.458747715;-0.331698472;-0.361593613;-0.278502536;-0.323430243;-0.193868237;-0.693246169;-0.557575041;-0.388804538;-0.388804538
PF3D7_0618700;0.046515982;0.316839902;-0.056374167;-0.254362253;-0.091775528;-0.383419519;-0.56313032;0.113269285;-0.661641855;-0.661641855
PF3D7_0618800;0.398233224;0.525984692;0.884416325;0.23401491;0.4231309085;0.4762169115;0.789808566;0.714913294;0.78534619;0.78534619
PF3D7_0618900;-0.1322034385;-0.049332731;0.3062613375;-0.15575166;0.4617026215;0.449133811;-0.1185728225;0.2859007445;-0.107963931;-0.107963931
PF3D7_0619000;-0.890118090666667;-0.881626498666667;-0.969508635333333;-0.366322498;-0.259031360666667;-0.0999054693333333;-0.478899332666667;-0.585827585666667;-0.546995076;-0.546995076
