X;ArtTP1;ArtTP2;ArtTP3;ArtTP4;ArtTP5;ArtTP1c;ArtTP2c;ArtTP3c;ArtTP4c;ArtTP5c
PF3D7_1035700;-0.852;0.087;0.009;0.835;0.4205;-0.569;0.306;0.0325;-0.3655;0.3095
PF3D7_1035900;-3.038;-1.068;-1.4365;-1.368;-0.938;-1.5795;-0.577;0.4225;0.191;1.222
PF3D7_1036000;-2.53;-1.1325;-0.895;-0.431;-0.725;-2.1425;-1.261;-0.4875;0.5265;1.402
PF3D7_1036300;-0.6795;0.411;-0.3525;0.3785;0.621;-1.199;-0.284;0.1385;0.48;1.018
PF3D7_1036400;-0.9665;0.053;-0.513;-0.0965;-0.0815;-0.6815;-0.438;-0.9035;-0.611;0.0395
PF3D7_1036600;0.41;0.369;-0.213;0.082;-0.816;0.513;0.331;0.209;0.28;0.149
PF3D7_1036700;-1;-0.478;-0.427;-0.117;-0.76;-0.635;-0.349;-1.02;-1.291;-1.077
PF3D7_1036800;0.9375;0.6655;0.935;0.978;0.955;0.612;1.0275;0.599;0.3975;0.366
PF3D7_1036900;-0.202666666666667;-0.914333333333333;-0.384333333333333;-0.0223333333333333;-0.452;-0.0683333333333333;-0.029;-0.487;-1.04;-0.763666666666667
PF3D7_1037000;0.46975;0.834333333333333;0.60725;1.00325;0.71525;0.4975;0.773;0.49;-0.102;-0.2525
PF3D7_1037200;-0.572;-0.1435;0.358;1.1165;0.91975;-0.39175;0.01075;-0.00775000000000001;-0.51075;-0.59525
PF3D7_1037400;-0.803;-0.1385;-0.7135;-0.2185;-0.5895;-0.7;-0.1695;0.236;0.5105;0.78
PF3D7_1037500;-1.0325;-0.218;-0.097;0.613;0.479;-0.728;0.023;0.6165;0.9;1.332
PF3D7_1037600;-0.229;-1.226;-0.622;-0.717;-0.756;-0.3905;-0.222;-0.3365;-0.648;-0.613
PF3D7_1037700;-1.922;-0.048;-1.241;-2.07;-1.869;-0.438;1.285;-0.504;-1.184;-1.097
PF3D7_1037800;-2.2715;0.369;-0.2385;0.2255;0.00600000000000001;-0.3975;-0.076;0.102;0.0365;-0.3665
PF3D7_1038000;0.427;2.128;0.435;1.214;0.148;0.868;0.726;1.367;0.62;0.789
PF3D7_1038100;-0.788;0.0295;8.0585;-0.7055;-0.487;0.3585;0.156;-0.148;8.0305;0.493
PF3D7_1038400;-0.4845;-0.0334444444444445;-0.1903;0.0254;0.064;-0.5424;-0.2352;-0.3366;-0.5784;0.0278
PF3D7_1038500;-1.593;0.984;0.6525;0.4845;0.2395;0.192;0.105;-0.246;-0.264;-0.367
PF3D7_1038600;-1.03;-0.395;-0.3195;0.312;0.3295;-0.847;-0.4905;-0.3275;0.2315;0.0415
PF3D7_1038800;-1.6405;-0.454;1.319;2.263;1.775;-1.468;-1.2565;-1.782;-1.5015;-1.059
PF3D7_1038900;0.201;1.144;1.1225;1.474;1.245;0.434;0.8505;0.217;-0.225;-0.3625
PF3D7_1039000;-2.51;-0.331;-1.327;-0.7405;-0.8215;-2.761;-1.7395;-2.247;-2.5815;-2.617
PF3D7_1039700;-2.861;-0.823;-1.419;-0.371;-0.569;-1.6;-1.832;-1.807;-1.869;-1.977
PF3D7_1039900;-3.54;-2.296;-1.517;-0.747;-0.936;-3.886;-2.464;-3.266;-2.548;-2.591
PF3D7_1040000;-1.295;1.02;-0.178;0.457;0.541;-0.536;0;-0.334;-0.905;-0.872
PF3D7_1040200;-1.271;0.313;-0.819;-0.551;-0.526;-1.504;-1.266;-1.098;-1.623;-1.183
PF3D7_1040300;-1.3535;-0.781;-0.6705;-0.062;0.337;-2.184;-1.5105;-1.3455;-3.5565;-2.1105
PF3D7_1040400;-0.043;0.115;-0.693;-0.241;0.148;-0.645;-0.057;-0.095;-0.058;-0.113
PF3D7_1040600;-2.515;-1.227;-1.029;-0.706;-2.536;-3.7;-2;-1.774;-0.858;-1.348
PF3D7_1040700;-1.248;-0.465;-0.091;-0.138;-0.17;-0.69;-0.482;-0.737;-0.562;-0.469
PF3D7_1040900;-0.911;0.826;-0.185;0.441;0.152;-0.122;0.244;-0.548;-0.149;-0.292
PF3D7_1041000;-1.976;-1.943;-0.314;-0.447;-0.492;-1.07;-0.424;-2.087;-0.853;-1.14
PF3D7_1041100;-4.17;-0.492;-0.782;-1.663;-0.351;-1;-1.189;-0.613;-1.469;-0.059
PF3D7_1041200;-0.403;0.973;0.195;0.834;0.717;-0.169;0.094;0.435;0.339;0.07
PF3D7_1041300;-0.421;0.197;-0.25;-0.46625;-0.54975;-0.48725;-0.14225;-0.98575;-0.37825;-0.658
PF3D7_1100100;-1.196;0.20975;-0.22175;-0.36925;-0.3705;-0.9775;-0.064;-0.2075;-0.54975;-0.5605
PF3D7_1100200;-1.1152;-0.8512;-0.8718;-0.643;-0.8066;-1.064;-0.6514;-1.0894;-0.8206;-0.226
PF3D7_1100300;0.542;0.154;1.078;1.161;0.507;0.462;1.17;0.776;0.556;0.512
PF3D7_1100400;-1.943;-0.874;-0.474;0.131;0.789;-0.657;-0.833;-1.17;-0.864;-0.982
PF3D7_1100600;-1.241;-1.087;-1.076;-1.222;-2.459;-0.913;-1.39;-0.341;-1.307;-1.867
PF3D7_1100700;-1.795;-0.759;-1.085;-0.574;-0.596;-1.215;-0.475;-0.755;-0.467;-0.208
PF3D7_1100800;-3.038;-2.16;-1.876;-1.14;-1.585;-2.764;-2.261;-2.615;-3.893;-3.285
PF3D7_1100900;-1.3005;-1.3545;-0.75;-0.5715;-0.346;-1.704;-0.9235;-1.242;-0.7975;-0.3845
PF3D7_1101000;-0.406;-0.156;0.051;0.807;1.038;-0.162;0.263;0.591;1.003;1.007
PF3D7_1101100;-1.15;-0.138;1.087;2.222;1.157;-1.874;-0.675;-0.963;-0.807;-0.882
PF3D7_1101200;0.247;0.068;0.427;0.476;0.276;0.39;0.59;0.542;0.075;-0.458
PF3D7_1101400;-0.458;-0.235;-0.351;-0.068;-0.52;-0.709;-0.246;-0.433;-0.333;-0.714
PF3D7_1101900;-0.741;0.051;-0.151;0.314;-0.046;-0.943;-0.548;-0.496;-0.651;-0.589
PF3D7_1102000;-0.8595;-0.1015;-1.242;-0.515;-0.2225;0.178;0.3045;0.019;-1.238;-0.208
PF3D7_1102200;-1.345;-0.395;0.088;0.9995;0.996;-1.3045;-0.025;-0.592;-0.6475;-0.417
PF3D7_1102300;-0.9;-0.479;0.905;2.028;1.114;-0.636;-0.848;-0.63;-0.934;-0.825
PF3D7_1102400;-0.635;-0.219;-0.067;0.1965;0.063;-0.257;-0.194;-0.336;-0.673;-0.5675
PF3D7_1102500;-2.1405;-1.7345;-1.7365;-1.021;-1.3055;-1.9535;-0.818;-1.66;-1.9335;-1.846
PF3D7_1102600;-0.46;-0.363;0.394;2.133;1.746;-0.815;-0.906;-0.597;-0.709;-0.841
PF3D7_1102700;-5.243;-4.257;-3.977;-2.778;-2.345;-4.65;-4.431;-3.093;-1.297;0.26
PF3D7_1102800;-5.346;-4.037;-3.881;-2.906;-3.224;-5.333;-4.523;-2.939;-0.843;0.397
PF3D7_1102900;-0.986;0.478;-0.105;-0.179;-0.391;-0.913;-0.077;0.275;0.31;0.152
PF3D7_1103000;-1.344;-1.984;-1.55;-1.057;-0.837;-0.637;-1.322;-0.669;-0.867;-0.909
PF3D7_1103100;-0.715;-0.181;-1.142;-1.507;-2.019;-0.276;-0.496;-0.598;-1.236;-0.986
PF3D7_1103400;0.465;0.823;-0.208666666666667;0.838333333333333;0.658;0.114333333333333;0.554;0.333;5.09833333333333;-0.579666666666667
PF3D7_1103500;-0.3915;0.0605;-0.2825;0.244;-0.003;-0.3195;-0.2085;-0.0545;-0.0795;-0.508
PF3D7_1103600;-1.0325;-0.236;-0.678;-0.8965;-0.737;-0.2495;-0.2365;-1.154;-1.242;-1.5285
PF3D7_1103700;0.552;-0.597;-0.549;-0.455;-0.889;0.931;0.644;-0.128;-0.488;-0.38
PF3D7_1103800;-0.0113333333333333;0.3835;0.3935;0.295833333333333;0.109166666666667;0.279833333333333;0.294166666666667;0.0571666666666667;-0.283833333333333;-0.0816666666666667
PF3D7_1103900;-0.524;0.304;-0.017;0.003;0.108;-0.322;0.568;0.434;0.504;0.559
PF3D7_1104000;-0.1825;0.945;0.07;-0.1165;-0.589;-0.071;0.058;-0.384;-0.6255;-1.017
PF3D7_1104100;-0.354;0.637;0.525;0.549;-0.043;-0.089;-0.076;-0.278;-0.459;-0.662
PF3D7_1104200;-0.275333333333333;0.176333333333333;-0.0113333333333333;0.108;0.0653333333333333;0.0273333333333333;0.458;0.305666666666667;-0.0896666666666667;-0.314666666666667
PF3D7_1104300;-0.156;0.463;0.292;0.2135;-0.256;0.1975;0.654;0.141;-0.352;-0.7655
PF3D7_1104400;0.864;1.298;0.2115;-0.139;-0.1025;0.6505;0.5975;0.768;0.023;-0.1815
PF3D7_1104500;-0.6965;-0.341;-0.428;-0.357;-0.5465;-1.0035;-1.328;-0.6225;-1.417;-0.625
PF3D7_1104600;-0.7015;-0.6805;-0.446;0.2365;-0.1245;-1.5;-0.1905;0.156;-0.339;-0.315
PF3D7_1104700;-0.977;0.702;-0.911;-0.456;-1.035;-0.328;0.2;-0.192;-0.571;-0.756
PF3D7_1104800;-0.1885;-0.647;-0.8435;-1.34;-1.2335;-0.0705;-0.1425;-0.674;-1.1005;-1.007
PF3D7_1104900;-2.19633333333333;-0.9025;-0.342666666666667;0.148333333333333;-0.11;-2.04766666666667;-1.22766666666667;0.0886666666666667;0.420666666666667;1.404
PF3D7_1105000;1.406;1.462;1.3;1.743;1.74;1.542;2.237;1.766;1.275;1.296
PF3D7_1105100;0.451;2.202;1.207;1.809;1.818;1.183;1.364;1.641;1.377;2.419
PF3D7_1105300;0.232;0.444;0.31;0.6255;0.6715;0.8485;1.2235;1.0455;1.0305;1.112
PF3D7_1105400;-1.535;-1.184;-2.078;-1.665;-2.562;-1.106;-0.482;-1.724;-1.693;-1.963
PF3D7_1105500;0.854;0.713;0.395;0.282;-0.268;0.845;0.915;0.555;0.433;0.059
PF3D7_1105600;-2.2665;-2.1365;-1.8325;-1.2855;-1.1385;-2.536;-1.958;-2.327;-1.1675;0.22
PF3D7_1105700;-0.658;-1.397;-0.4855;-0.4055;-0.647;-1.1215;-0.4705;-1.115;-1.3665;-0.9925
PF3D7_1105800;0.108;-0.259;-0.485;0.006;-0.372;0.045;0.361;0.206;0.059;0.384
PF3D7_1105900;-1.667;0.396;0;0.11;0.14;-0.129;0.389;0.281;-0.758;-0.015
PF3D7_1106000;-0.887;-0.316;-0.259;0.261;-0.2405;-0.5405;-0.195;-0.8555;-0.92;-1.4245
PF3D7_1106100;0.767;1.436;1.286;1.49;1.188;1.072;1.036;0.774;0.171;0.172
PF3D7_1106200;-0.1055;0.629;0.325;0.375;-0.041;0.3945;0.6585;0.345;-0.099;-0.2305
PF3D7_1106300;0.633;0.8335;1.029;1.4295;0.9925;0.5365;0.9035;0.2985;-0.012;-0.2695
PF3D7_1106500;-0.323666666666667;-0.245;0.0286666666666667;0.197;-0.440666666666667;-0.423;-0.16;-0.601333333333333;-1.09866666666667;-1.139
PF3D7_1106600;-0.201;-0.387;-0.0405;0.337;-0.3385;-0.0955;-0.2075;-1.076;-1.4145;-0.806
PF3D7_1106700;-0.462;0.1375;0.2405;0.356;0.193;-0.212;0.5055;0.205;-0.982;-0.3205
PF3D7_1106800;-0.00500000000000001;-0.0365;-0.325666666666667;-0.604333333333333;-0.319333333333333;-0.0146666666666667;0.232;-0.321666666666667;-0.605333333333333;-0.493333333333333
PF3D7_1106900;-1.273;-0.274;-0.563;-0.199;-0.174;-0.573;-0.537;-0.409;-0.558;0.951
PF3D7_1107100;0.592;1.079;1.3815;1.9895;1.4705;0.279;1.0135;0.9995;0.7575;0.7235
PF3D7_1107300;-0.1612;-0.033;3.3242;0.1182;0.012;-0.1805;-0.016;-0.1488;-0.5145;-0.3778
PF3D7_1107400;1.082;0.431;1.023;0.903;0.5395;0.565;0.6565;-0.021;-0.462;-0.637
PF3D7_1107500;-0.345;-0.044;-0.69;-0.517;-0.943;-0.513;-0.115;-0.709;-0.998;-1.144
PF3D7_1107600;-0.58;-1.346;-1.592;0.4115;0.443;-1.1095;-0.859;-0.101;-0.625;-0.775
PF3D7_1107700;-0.936;-0.3805;-0.4995;0.1125;0.00950000000000001;-1.024;-0.679;-1.137;-0.7895;-1.0985
PF3D7_1107800;-1.35933333333333;-0.143;-0.0873333333333333;-0.005;-0.131;-1.404;-0.578666666666667;0.168333333333333;0.723333333333333;1.24033333333333
PF3D7_1107900;-0.852666666666667;-0.1175;0.559333333333333;1.37733333333333;1.36766666666667;-0.854666666666667;-0.423;-0.035;-0.117;-0.075
PF3D7_1108000;-0.281;0.349;0.259;0.123;0.0685;-0.353;-0.381;-0.5405;-0.8345;-0.5045
PF3D7_1108100;-1.245;0.5915;-0.171;0.3395;0.3005;-1.0085;-0.1465;0.739;0.4005;1.322
PF3D7_1108400;0.687;0.964;0.261;0.187;-0.302;0.108;0.364;-0.175;-0.457;-0.986
PF3D7_1108500;0.8105;0.892;0.303;0.9225;0.745;0.3905;1.27;0.895;0.6195;0.0965
PF3D7_1108600;1.025;1.239;0.976;1.165;0.831;1.209;1.609;1.741;0.717;0.143
PF3D7_1108700;0.608;1.095;0.5815;0.477;0.185;0.544;0.7905;0.534;-0.022;0.3285
PF3D7_1108800;-0.24;0.737;-0.148;-0.181;-0.554;-0.497;-0.094;-0.27;-0.62;-0.923
PF3D7_1108900;-1.4425;-0.2665;-0.981;-0.646;-0.5895;-0.829;-0.519;-0.75;-1.1375;-1.277
PF3D7_1109400;-1.335;-0.863;-1.3365;-1.4525;-1.548;-1.236;-0.461;-1.206;-1.532;-1.7585
PF3D7_1109900;-1.083;-0.318;-1.394;-1.038;-1.654;-0.432;-1.026;-1.591;-1.531;-2.167
PF3D7_1110100;-0.104;0.613;-0.024;1.0185;0.7515;0.253;0.665;0.895;1.1705;1.2335
PF3D7_1110200;-0.635;-0.072;-0.33;-0.4135;-0.6515;-0.9825;-0.283;-0.8665;-0.743;-1.3305
PF3D7_1110400;-0.479;-0.811666666666667;-0.686666666666667;-0.42;-1.07766666666667;-0.647666666666667;-0.532333333333333;-1.02366666666667;-1.28266666666667;-1.08266666666667
PF3D7_1110500;-0.177;0.4435;0.002;0.7235;0.00650000000000001;0.13;0.545;0.1105;-0.0155;-0.4525
PF3D7_1110600;0.066;0.529;0.335;-0.515;0.426;0.992;1.332;0.719;0.677;0.739
PF3D7_1110900;-0.808;0.541;-0.1655;-0.384;-0.439;0.002;0.2705;-0.125;-0.584;-0.774
PF3D7_1111000;-0.936;-0.6215;-1.1515;-1.5305;-2.0205;-0.842;-0.446;-1.137;-1.3045;-1.4255
PF3D7_1111100;0.859;0.949;-0.423;0.417;-0.631;0.512;0.814;0.291;-0.176;-0.152
PF3D7_1111200;-0.4075;0.483;-0.678;-0.0215;-0.2715;-0.3495;-0.366;-0.8785;-0.959;-1.313
PF3D7_1111300;-1.454;0.691;-0.193;-0.116;0.097;0.144;0.944;0.737;0.149;0.084
PF3D7_1111400;-0.281;0.601;-0.638;-0.3;-1.064;0.241;0.717;-0.131;-0.162;-0.722
PF3D7_1111600;-0.017;0.03;0.257;0.808;1.173;0.6305;0.713;0.296;-0.0395;-0.2245
PF3D7_1111700;-0.139;-0.1455;-0.2285;-0.1865;-0.7745;-0.2415;0.0595;-0.3795;-0.7735;-0.825
PF3D7_1112100;0.2905;0.828;0.608;0.864;0.54875;-0.06575;0.073;0.631;0.7415;0.65425
PF3D7_1112300;0.324;0.87;-0.3515;-0.3585;-0.596;0.4945;0.473;-0.0695;-0.4225;-0.523
PF3D7_1112400;0.611;0.452;0.271;0.091;-0.096;0.789;1.008;0.576;0.205;0.063
PF3D7_1112600;0.344;0.0945;0.593;0.7635;0.328;0.6665;0.7875;0.2815;0.433;0.5085
PF3D7_1112700;-0.639;-0.0365;-0.1815;0.203;-0.0215;0.182;0.1475;0.0275;-1.1745;-0.0015
PF3D7_1112800;-0.5005;0.349;-0.469;-0.345;-0.5105;0.033;0.4155;0.332;-0.053;0.0785
PF3D7_1113000;0.0577777777777778;0.515666666666667;0.344777777777778;0.488111111111111;0.523888888888889;0.208333333333333;0.853222222222222;1.15033333333333;1.403;1.32288888888889
PF3D7_1113100;-0.29;0.364;0.418;0.239;0.035;-0.08;-0.021;0.053;-0.226;0.047
PF3D7_1113200;0.053;0.209;-0.288;-0.598;-0.877;-0.148;0.108;-0.301;-0.321;0.23
PF3D7_1113300;1.011;1.246;-0.585;0.337;-0.496;1.6;1.62;1.305;0.72;0.448
PF3D7_1113400;-0.591;-0.144;-0.372;-0.6115;-0.4325;-0.155;0.11;-0.1085;-0.436;-0.2925
PF3D7_1113500;-0.4085;-0.7265;-1.1695;-1.2795;-1.1255;-0.5775;0.0415;-0.8935;-0.444;-0.474
PF3D7_1113600;-0.3265;0.385;-0.078;0.7205;-0.331;-0.298;-0.174;-0.346;-0.976;-0.381
PF3D7_1113700;-1.081;0.1;0.008;0.373;-0.282;0.345;0.179;-0.028;-0.661;-0.827
PF3D7_1113800;-0.319;0.5225;0.2445;0.1005;0.0375;0.755;1.119;0.8685;0.6515;0.641
PF3D7_1113900;-0.502;-0.378;8.3395;0.029;0.0025;-0.6435;-0.311;-0.1645;-0.821;-0.173
PF3D7_1114000;-0.63;0;-0.154;-0.04;0.5;-0.698;-0.556;-0.202;-0.576;-0.358
PF3D7_1114100;-0.321;0.6315;0.153;0.164;0.0495;-0.3355;0.1245;-0.0755;-0.0555;0.192
PF3D7_1114200;-1.4935;-0.3645;-0.7045;-0.458;-0.6925;-1.631;-1.166;-1.019;-0.751;-0.2275
PF3D7_1114400;0.069;0.6835;-0.0555;0.2365;0.0655;0.5925;0.609;0.19;-0.108;-0.6105
PF3D7_1114500;0.149;0.73;0.353;0.2875;-0.233;0.3455;0.55;0.2675;-0.18;-0.6285
PF3D7_1114600;-1.585;-0.496;1;-0.073;-0.82;-0.943;0.061;-0.539;-0.33;-0.276
PF3D7_1114800;-0.234;0.6635;0.0425;0.515;0.1585;-0.203;0.386;0.389;0.1645;0.2
PF3D7_1114900;-0.0665;0.893;0.8875;1.01825;0.97025;0.427;0.86775;1.34025;1.3895;1.21
PF3D7_1115100;-1.44666666666667;-0.566333333333333;-0.484666666666667;0.081;-0.233;-0.611666666666667;-0.144;-0.525333333333333;-0.768333333333333;-0.353333333333333
PF3D7_1115200;0.636;0.768;0.5535;0.8745;0.612;0.5275;0.704;0.5755;0.752;0.676
PF3D7_1115300;-1.5175;-1.4075;-1.3055;-1.0265;-1.364;-1.9285;-1.5765;-2.3045;-2.385;-2.39
PF3D7_1115400;0.6095;1.43;0.5335;0.8655;0.451;0.997;0.9795;0.6545;0.6095;0.531
PF3D7_1115600;0.71;0.583;0.415;0.419;-0.021;0.282;1.092;0.881;0.446;0.362
PF3D7_1115700;-1.173;0.363;-1.69;-1.1;-1.594;-1.079;-1.3385;-2.151;-2.189;-1.557
PF3D7_1115800;-2.199;-0.915;-0.445;-0.224;-0.362;-2.536;-1.98;-1.918;-0.977;-0.14
PF3D7_1115900;0.083;0.379;-0.399;0.404;0.669;-0.159;0.589;0.92;1.205;1.601
PF3D7_1116000;0.0098;0.398;0.4466;0.7436;0.5952;-0.0426;0.2294;0.435;0.6436;1.091
PF3D7_1116200;-1.407;-0.874;-1.432;-1.439;-1.414;-1.247;-0.755;-1.254;-1.442;-1.256
PF3D7_1116300;-0.667;0.056;-0.52;-0.381;-0.798;0.128;-0.01;-0.441;-0.515;-0.518
PF3D7_1116500;0.203;0.2675;0.035;-0.0425;0.106;0.301;0.709;0.5495;0.4035;0.6735
PF3D7_1116600;0.4435;0.5;0.582;0.388;0.1515;1.0525;1.044;0.4605;0.018;-0.139
PF3D7_1116700;-0.856;-0.0695;-0.3515;-0.2885;-0.2295;-0.699;-0.785;-1.139;-0.9035;-1.678
PF3D7_1116800;-3.613;7.231;-1.4275;-1.073;-0.1925;-0.213;-2.1575;-2.215;-0.864;0.3405
PF3D7_1117000;0.3925;-0.0205;-0.6535;-0.2515;-0.266;-0.1355;0.58;0.0265;0.247;-0.106
PF3D7_1117100;0.118;0.888;0.5245;0.814;0.4255;0.5815;0.689;0.6265;0.303;0.2625
PF3D7_1117200;-0.560333333333333;0.0536666666666667;0.227333333333333;0.4;0.161333333333333;-0.395666666666667;-0.0126666666666667;-0.149666666666667;-4.63044677832351e-18;-0.0513333333333333
PF3D7_1117400;-0.2985;0.6135;0.823;1.2005;1.0665;-0.2405;0.5995;1.0035;1.0535;1.337
PF3D7_1117500;-0.5425;0.238;0.3815;0.662;0.057;0.4025;0.3725;0.018;-0.355;-0.3935
PF3D7_1117600;-0.477;-0.171;-0.325;-0.32;-0.918;-0.523;-0.042;-0.615;-0.87;-1.155
PF3D7_1117700;0.223;0.032;0.592;0.108;-0.481;-0.152;0.061;-0.218;-0.414;-0.331
PF3D7_1117800;0.3075;0.532;0.865;1.1105;0.579;0.274;0.577;0.4765;0.276;0.073
PF3D7_1117900;0.364;1.30033333333333;0.959333333333333;0.722333333333333;0.884;0.324666666666667;0.639666666666667;0.794;0.719;0.534333333333333
PF3D7_1118100;0.159;1.064;0.596;0.912;0.541;0.763;0.807;0.616;-0.37;-0.444
PF3D7_1118200;-0.9625;-1.438;-0.928;-0.655;-0.999;-0.8485;-0.9165;-1.645;-2.273;-2.5095
PF3D7_1118300;-0.932666666666667;-1.00566666666667;-0.578333333333333;-0.335;-0.33;-0.783666666666667;-0.653;-0.916666666666667;-1.48133333333333;-0.858
PF3D7_1118400;-0.87;-0.112;-0.753;-0.841;-1.127;-0.974;-0.929;0.085;-0.176;-0.377
PF3D7_1118500;-0.8685;-0.976;-0.307;0.22;-0.113;-0.8605;-0.7905;-0.6705;-0.6985;-0.6215
PF3D7_1118700;-0.2675;0.0025;0.2295;0.525;0.275;-0.00600000000000001;0.4365;0.9085;0.775;1.633
PF3D7_1118800;-0.4805;-0.2875;-0.0195;0.294;-0.151;-0.4975;-0.444;-0.4125;-0.6015;-0.9935
PF3D7_1118900;-0.717;-0.92;-0.89;-0.55;-0.461;-0.79;-0.613;-0.687;-1.757;0.129
PF3D7_1119000;0.5005;1.1665;0.6365;0.7;0.2555;0.4005;0.7735;0.666;0.3225;-0.0295
PF3D7_1119100;-1.302;0.718;0.123;0.193;-0.122;-0.191;0.276;0.734;-0.549;-0.599
PF3D7_1119200;-1.067;-0.098;-0.665;-0.19;-0.982;-1.618;-0.458;-1.195;-1.011;-1.175
PF3D7_1119400;0.1395;0.0886666666666667;0.4115;0.51175;0.0985;0.3675;0.72875;0.30775;0.23175;-0.07525
PF3D7_1119500;-0.838;-0.3085;-0.215;-0.5585;-0.5045;-0.0895;0.195;-0.139;-0.601;-0.4525
PF3D7_1119600;-0.467;-0.1665;-0.0485;0.167;-0.3485;-0.5035;-0.1095;-0.473;-0.816;-1.122
PF3D7_1119700;-1.35;-0.843;-0.75;-0.953;-0.182;-0.383;0.089;0.505;0.71;2.038
PF3D7_1119800;-0.964;0.387;-0.441;-0.391;-0.761;-0.365;0.294;0.058;-0.092;-0.428
PF3D7_1119900;-0.395333333333333;-0.467666666666667;-0.292333333333333;-0.332;-0.484666666666667;-0.0936666666666667;0.297333333333333;-0.111333333333333;-0.0343333333333333;0.107666666666667
PF3D7_1120000;-0.5335;-0.528;-0.337;-0.1135;-0.738;-0.292;-0.578;-0.841;-1.6595;-1.5655
PF3D7_1120100;0.126;0.355;-0.782;-0.65;-1.039;-0.133;-0.044;0.116;-1.383;-1.161
PF3D7_1120200;0.585;0.714;1.006;1.287;0.93;0.817;1.101;0.96;-0.702;0.698
PF3D7_1120300;0.2245;1.194;0.364;0.5155;0.226;0.2055;0.6155;0.7035;0.5635;0.1745
PF3D7_1120400;-1.183;-0.2585;-0.492;-0.5685;-0.3855;-1.262;-0.351;-0.656;-0.8785;-0.7275
PF3D7_1120500;-0.2595;0.061;-0.282;-0.3205;-0.4915;-0.178;0.0365;-0.2935;-0.489;-0.8615
PF3D7_1120600;0.04225;-0.5255;-0.9185;-0.8935;-1.3765;-0.03625;-0.00325;-0.394;-0.94425;-0.8255
PF3D7_1120700;-0.0955;0.4285;0.2605;0.893;0.253;0.00299999999999999;0.285;0.0585;-0.3005;-0.473
PF3D7_1120800;-0.259;0.742;-0.36;-0.11;-0.336;0.453;0.834;0.587;0.157;-0.135
PF3D7_1120900;0.349;0.563;-0.285;0.076;-0.731;0.523;0.568;0.52;0.033;-0.627
PF3D7_1121000;0.525;0.459;0.803;0.848;0.662;0.686;1.074;0.718;0.994;0.382
PF3D7_1121100;-0.114333333333333;0.190333333333333;0.254666666666667;0.417333333333333;0.141666666666667;0.201666666666667;0.66;0.559333333333333;0.447666666666667;0.392
PF3D7_1121300;0.158333333333333;1.5175;1.535;1.629;1.55633333333333;1.09066666666667;1.47933333333333;1.15033333333333;0.540666666666667;0.625
PF3D7_1121400;-0.86525;-0.406;-0.193;0.2195;0.212;-0.9785;-0.166;-0.4295;-1.06275;-0.3305
PF3D7_1121500;-0.3085;-0.1785;-0.2435;-1.026;-0.9425;0.0345;0.561;-0.2015;-0.201;0.0175
PF3D7_1121700;0.7695;-0.384;-0.082;0.394;0.257;-0.5155;-0.265;0.277;0.187;0.1225
PF3D7_1121800;-0.716333333333333;0.0786666666666667;-0.376;-0.186;0.14025;-0.608;-0.23;-0.262;-0.6815;-0.3375
PF3D7_1121900;0.768;0.5995;0.697;0.6845;0.69;0.891;1.193;0.6575;0.2345;0.485
PF3D7_1122000;-1.188;-0.486;-0.3585;-0.0735;0.003;-0.1715;-0.0115;-0.117;-1.11;-0.1875
PF3D7_1122100;0.8175;0.7345;0.645;0.9115;0.5555;0.968;1.095;0.4655;0.1845;-0.261
PF3D7_1122200;-0.824;-0.726;-0.733;0.012;-0.252;-0.571;-0.381;-0.39;-0.041;0.046
PF3D7_1122300;-0.608;-1.153;-0.921;-0.482;-0.64;-0.358;0;-0.018;0.07;0.14
PF3D7_1122400;0.016;0.396;0.3625;0.725;-0.132;-0.1585;0.036;-0.4335;-0.761;-1.0175
PF3D7_1122500;0.347333333333333;0.273;0.53;0.593666666666667;0.513333333333333;0.735666666666667;1.06633333333333;0.716333333333333;0.480666666666667;0.316
PF3D7_1122700;0.805;2.083;1.316;1.546;1.656;1.641;1.833;1.499;0.741;1.134
PF3D7_1122800;-1.432;-0.811333333333333;0.329;0.865;0.593666666666667;-1.04366666666667;-0.729333333333333;-0.895;-0.804;-0.539666666666667
PF3D7_1122900;-0.756625;0.000714285714285709;-0.263;0.202;0.148;-0.357375;-0.07275;-0.535125;-0.68725;-0.330875
PF3D7_1123000;-0.117;5.433;-0.255;-0.4405;-0.3095;-0.140333333333333;-0.36325;-0.0575;0.525;0.6775
PF3D7_1123100;-0.34;0.53575;1.2375;1.26975;0.97575;-0.33375;0.137;0.291;0.40875;0.48825
PF3D7_1123200;0.377;0.6575;0.527;0.815;0.6535;0.003;0.688;0.6665;0.698;1.0125
PF3D7_1123300;-0.427;1.0395;0.6695;1.02;0.635;0.522;0.7955;0.838;0.6915;0.5785
PF3D7_1123400;-0.6675;-0.0395;-0.375;-0.387;-1.148;-0.6445;0.0575;-0.63;-1.0355;-1.145
PF3D7_1123500;-0.7215;0.138;-0.1455;0.4145;0.084;-0.253;-0.071;-0.187;-0.5;-0.706
PF3D7_1123600;-0.372;-0.295;-0.3115;-0.024;-0.1125;-0.609;-0.1985;-0.64;-0.685;-0.851
PF3D7_1123700;0.779;0.638;0.087;0.043;-0.766;0.367;0.511;-0.372;-0.899;-1.127
PF3D7_1123800;0.147;1.465;0.6355;0.51;0.337;0.778;1.183;0.7875;0.5455;-0.0465
