X;ArtTP1;ArtTP2;ArtTP3;ArtTP4;ArtTP5;ArtTP1c;ArtTP2c;ArtTP3c;ArtTP4c;ArtTP5c
PF3D7_0418900;-0.568;0.236;0.4275;0.355;0.4085;-0.6535;0.053;-0.6805;-0.741;-1.0935
PF3D7_0419000;-1.3675;-0.216;-0.339;-0.317;-0.572;-0.766;-0.325;-0.571;-0.8755;-0.4495
PF3D7_0419100;-0.32;-0.41;-0.14;-0.409;-0.924;-0.479;0.114;-0.854;-0.74;-1.099
PF3D7_0419300;0.586;1.882;0.63;0.394;0.503;0.63;0.999;0.884;0.635;0.493
PF3D7_0419400;0.6635;0.389333333333333;0.3925;0.415;0.468;1.13475;1.441;1.42125;1.26575;1.13775
PF3D7_0419500;-0.257;0.461;0.3925;0.715;0.5375;0.439;0.76;0.5;0.3955;0.31
PF3D7_0419600;0.242;1.087;0.217;0.841;0.33;0.443;0.435;0.228;-0.563;-0.209
PF3D7_0419800;-1.07;-0.875;-1.052;-1.121;-1.321;-1.176;-0.641;-0.782;-0.818;-1.041
PF3D7_0420000;-0.036;-0.120666666666667;0.0653333333333333;0.474666666666667;0.0718333333333333;-0.0323333333333333;0.116166666666667;-0.204333333333333;-0.5585;-0.537
PF3D7_0420100;-0.496;0.0505;0.55;0.7795;0.813;-0.133;0.3695;0.1025;-0.73;-0.5505
PF3D7_0420200;-0.1925;-0.144;0.5115;0.798;0.3295;0.3485;0.073;-0.5755;-0.689;-0.622
PF3D7_0420300;-2.41016666666667;-1.8725;-0.880333333333333;-0.431166666666667;-0.558833333333333;-2.72416666666667;-2.1405;-1.50566666666667;0.213666666666667;1.038
PF3D7_0420400;-0.606;1.221;0.352;0.724;0.347;0.083;0.643;0.503;0.421;0.556
PF3D7_0420700;-1.20075;-0.81775;-1.19075;-0.9125;-1.01375;-1.121;-0.8515;-0.828;-1.6485;-0.5805
PF3D7_0420900;-2.0925;-1.63275;-1.385;-1.89475;-1.91725;-2.67675;-1.344;-1.80475;-1.952;-1.28075
PF3D7_0421100;-1.50866666666667;-0.23;-2.40166666666667;-2.4735;-1.81625;-2.5595;-0.91825;-1.29125;-1.69525;-1.048
PF3D7_0421300;-2.792;-1.406;-2.05575;-2.34775;-2.2725;-2.546;-1.77325;-2.03925;-2.2815;-1.91075
PF3D7_0421500;-2.215;-1.184;-1.248;-0.346;-0.309;-2.492;-1;-2.066;-4.115;-5.285
PF3D7_0421600;-0.02;-0.3915;-0.9455;-0.31;0.117;-1.289;-0.427;-0.454;-0.712;-0.6625
PF3D7_0421700;-0.94;0.160333333333333;-1.308;-0.297;-0.299;-0.696;-0.554;0.048;-0.616666666666667;-0.482333333333333
PF3D7_0421800;-0.062;0.919;0.065;0.695;0.563;0.371;0.735;0.47;0.349;0.428
PF3D7_0421900;-1.793;-1.655;-0.404;0.114;0.634;-2.104;-1.101;-0.926;-1.025;-0.121
PF3D7_0422100;0.0615;0.68;-0.2755;-0.1535;-0.189;0.1725;0.788;0.1315;-0.244;-0.7025
PF3D7_0422200;-0.862571428571429;-0.39975;0.0957142857142857;0.293285714285714;-0.0237142857142857;-0.816428571428571;-0.529285714285714;-0.696142857142857;-0.767714285714286;-0.282
PF3D7_0422300;-1.1715;-1.66;-0.3575;-0.153;-0.067;-1.422;-0.964;-1.178;-0.781;-0.623
PF3D7_0422500;-0.56;-0.33575;-0.2624;-0.3032;-0.4986;-0.3164;0.0134;-0.3448;-0.6268;-0.8854
PF3D7_0422700;-0.5575;-0.817;-0.697;-0.427;-1.207;-0.662;-0.483;-1.0425;-1.5855;-1.5785
PF3D7_0422800;0.8575;1.911;0.653;0.5355;0.521;1.149;1.5295;1.178;0.782;0.6475
PF3D7_0422900;-0.052;1.633;1.036;1.476;1.099;0.189;0.72;0.451;0.133;0.005
PF3D7_0423000;-2.784;1.297;-0.69;0.712;0.571;0.459;0.606;0.596;-1.309;0.134
PF3D7_0423100;0.211;0.838;0.678;0.423;-0.151;0.161;0;-0.01;-0.406;-0.398
PF3D7_0423200;0.211;0.367;0.277;-0.565;-0.117;-0.609;0.231;0.019;-0.385;-0.112
PF3D7_0423300;-0.4995;0.049;-0.019;0.405;0.3065;-0.6395;0.261;0.645;0.832;1.108
PF3D7_0423500;-0.204;-0.122;0.0655;0.7045;0.3955;-0.321;0.477;0.6915;0.086;0.9615
PF3D7_0423600;-0.182666666666667;0.550666666666667;0.406666666666667;0.426666666666667;-0.0313333333333333;-0.266;-0.0286666666666667;-0.042;-0.571666666666667;-0.613333333333333
PF3D7_0423700;-0.258;0.692;0.15;0.502;0.307;-0.047;0.625;1.186;1.099;0.991
PF3D7_0423800;-1.797;-0.295;-0.3095;0.276;-0.125;-1.6745;-0.788;0.2535;0.451;1.047
PF3D7_0423900;-1.415;-0.303;-0.415;-1.459;0.118;16.61;1.17;0.222;-0.199;-0.485
PF3D7_0424100;-4.105;-2.907;-1.5885;-0.5025;-0.9855;-2.8965;-2.643;-1.0065;0.1395;1.1355
PF3D7_0424200;-3.21066666666667;-2.51233333333333;-2.351;-1.53833333333333;-1.55;-3.17966666666667;-2.26333333333333;-0.750666666666667;0.149;1.015
PF3D7_0424300;-3.22133333333333;-1.62733333333333;-1.26966666666667;-0.540666666666667;-0.856333333333333;-3.129;-2.19;-0.870333333333333;0.399;1.593
PF3D7_0424400;-1.23375;-0.767;-0.0935;0.7285;0.52825;-0.789;-0.48975;-0.691;-0.53875;-0.16675
PF3D7_0424500;-3.517;-2.5295;-1.415;-0.3505;-0.3715;-3.326;-2.9235;-2.7085;-1.6295;-0.121
PF3D7_0424600;-3.152;-2.466;-1.718;-1.135;-0.968;-2.96;-2.332;-2.298;-1.085;-0.42
PF3D7_0424700;-4.0315;-2.098;-1.8665;-1.2785;-1.429;-4.0565;-3.884;-4.4875;-4.8695;-4.3995
PF3D7_0424800;-4.312;-2.975;-3.392;-3.25;-2.646;-3.865;-3.081;-3.727;-3.322;-2.047
PF3D7_0425000;-1.249;-0.439;-0.399;-0.154;-0.412;-1.315;-0.413;-0.565;-0.679;-0.826
PF3D7_0425100;-0.751;1.02;0.074;0.367;0.253;-0.116;-0.281;0.309;-0.614;0.042
PF3D7_0425200;-5.044;-2.714;-1.995;-1.6;-1.194;-3.779;-1.954;-3.122;-2.007;-0.89
PF3D7_0425300;0.322;0.07;-0.1;-0.156;0.244;0.467;-0.138;-0.273;-0.1;0.569
PF3D7_0425400;-5.222;-1.666;-1.801;-1.684;-1.485;-2.379;-1.685;-1.737;-1.437;-1.294
PF3D7_0425500;-2.512;-2.178;-1.571;0;-0.866;-2.737;-2.363;-1.667;-1.509;-1.948
PF3D7_0425800;-1.13608333333333;-0.0779666666666667;-0.644333333333333;-0.41;-0.5655;-0.9975;-0.336833333333333;-0.507833333333333;-1.19976666666667;-0.677083333333333
