"","MAL13P1.124","MAL13P1.201","MAL13P1.294","MAL13P1.332","MAL13P1.337","MAL8P1.152","MAL8P1.35","MAL8P1.55","PF10_0159","PF10_0195","PF10_0257","PF10_0286","PF10_0348","PF11_0096","PF11_0141","PF11_0146","PF11_0212","PF11_0276","PF11_0404","PF11_0414","PF11_0471","PF13_0013","PF13_0031","PF13_0036","PF13_0095","PF14_0121","PF14_0133","PF14_0178","PF14_0185","PF14_0214","PF14_0261","PF14_0314","PF14_0346","PF14_0415","PF14_0545","PFA0300c","PFC0610c","PFD0180c","PFD0295c","PFE1430c","PFE1550w","PFF0610c","PFF0625w","PFI1510w","PFI1545c","PFI1655c","PFL0420w","PFL1335w","PFL1400c","PFL1815c","D_class","Class","Compound"
"ACTTP5","-0.027316587","-0.0936304870","-0.317929620","-1.409529866","-0.16880466","-0.0057193704"," 0.554863360","-0.011312878"," 0.18501017"," 0.057937622"," 0.565447173","-0.224991686","-0.4562266611"," 0.528655435","-0.9237608154","-0.671894055"," 0.0105357212","-0.7782028541"," 0.7729628859","-0.048357755"," 5.615012e-01","-0.815913127"," 0.299433493","-1.029740272","-0.11218169","-0.0417509302"," 1.028191243","-0.709366644"," 0.477140803"," 0.0335295053","-0.714160008","-0.270584926","-0.3553862434","-0.640496223","-0.6593563881","-0.371308284"," 0.353327399"," 0.4717104494","-1.03293639","-0.322127913","-0.005621477","-0.829897719"," 0.898132236","-0.460907137","-0.66790838","-0.25038507","-0.3637580999","-0.696001813","-0.185420219"," 0.909883624",2,2,"ACTd"
"ML_7_H1"," 0.409124218","-0.3167030512"," 0.513991915","-0.953564092"," 0.75490475","-1.3226295981","-0.026172370","-0.336581438"," 0.25500777"," 0.585741508","-1.813979516","-0.787394582","-0.1193076228"," 0.296642873","-0.9382690483"," 0.270254580"," 0.0332689268","-0.1227028164","-0.2638845542","-0.615591432"," 3.459243e-01","-0.937209927","-1.053489311","-0.992848455"," 0.32858807"," 0.1841677722"," 0.813156841"," 0.323936253","-0.593389970"," 0.0855371954","-0.823799671"," 0.634259098"," 0.2511695632"," 0.574225256"," 1.0557048627","-0.341961991"," 0.473741104","-0.4970459268","-0.63560691"," 0.334671683"," 0.474642858","-0.248523913","-0.065304884","-1.348837550"," 0.79105792","-0.58676088","-0.3883894995"," 0.740424906","-0.995944892"," 0.595257992",3,3,"ML_7"
"ML_7_H2"," 0.289426667","-0.5064395267","-0.064562120","-0.909776202"," 0.74070339","-1.5281474028","-0.275671012","-0.365226849"," 0.12048429"," 0.295509330","-1.728766395","-0.709837187"," 0.0943829560"," 0.457000786","-0.9262443955"," 0.167909003"," 0.0116509990","-0.4376626580","-0.1211427542","-0.243022140","-3.154707e-02","-1.075607719","-0.961341516","-1.096755901"," 0.23222129","-0.2089781980"," 0.913554411"," 0.486151208","-0.507298765"," 0.2908911867","-0.515892462"," 0.731813944"," 0.3815005324"," 0.936421378"," 0.6695845439","-0.485038584"," 0.263084482","-0.5357833991","-0.69493262"," 0.263959626"," 0.409893146"," 0.266298721","-0.130924842","-1.045234719"," 0.95276502","-0.38194932","-0.4102901397"," 0.596413866","-0.731857002"," 0.678687157",3,3,"ML_7"
"ML_7_H4"," 0.318901060","-0.2935406197"," 0.485047366","-0.647614245"," 0.41349969","-1.6344795593"," 0.006534212","-0.516200372"," 0.24864519"," 0.360005931","-1.851550160","-0.605629899"," 0.1226306193"," 0.430759041","-1.1217800594"," 0.150716975","-0.0923416325","-0.5766437492","-0.3304078935","-0.166701860","-1.374783e-01","-1.173747651","-0.700946634","-0.613923365"," 0.26670151","-0.0947211129"," 0.667542698"," 0.587806827","-0.349076390"," 0.0521221074","-0.816001760"," 0.456906019"," 0.2553774090"," 0.433462219"," 0.7318429673","-0.374074138"," 0.169983249","-0.4907650372","-0.55938873"," 0.069114146"," 0.204806262","-0.031772346","-0.251557150","-1.049855279"," 0.73674766","-0.45603936","-0.5108500361"," 0.399126320","-0.757315577"," 0.345192300",3,3,"ML_7"
"ML_7_H6"," 0.286227967","-0.5334490672"," 0.599830995","-0.638717034"," 0.59844204","-1.6841287939","-0.299420677","-0.729202968"," 0.30007145"," 0.351586065","-1.429566626","-0.849593023"," 0.4920297386"," 0.476460910","-1.2118616722"," 0.213334085","-0.2913579321","-1.2319502419","-0.0890809044","-0.179756974","-3.297777e-02","-1.104179774","-1.780721087","-0.662110246"," 0.42339367","-0.9120711478"," 0.294952150"," 1.075057247","-1.426038367"," 0.1558895707","-0.096880073"," 0.340231988"," 0.6128009606"," 0.647804488"," 1.4390270843"," 0.109929426"," 0.313713822"," 0.0080644553"," 0.06201763"," 0.595203000"," 0.239421834"," 0.085031323","-0.094577145","-0.945085210"," 0.53617549","-0.34811201","-0.7000481875"," 0.393942292","-0.560459585"," 0.403963885",3,3,"ML_7"
"ML_7_H8"," 0.622939985","-0.7761910691"," 0.278020633","-0.698638364"," 0.71735306","-1.6739837456"," 0.161754016","-0.489777382"," 0.07747437"," 0.516518281","-2.057057335","-1.088417116","-0.3467733354"," 0.372129484","-1.2785020724"," 0.075356895"," 0.4050944869","-0.3665274361","-0.3079553491"," 0.392249562"," 3.988935e-01","-1.274126014","-0.900873357","-1.042301966"," 0.45864650"," 0.0035467493"," 0.753614767","-0.120163169","-0.443032411"," 0.2909759682","-0.590397471"," 0.380705041"," 0.0913585335"," 0.958671934"," 0.6287356431","-0.410006109"," 0.317539676","-1.0862770270","-1.05908369"," 0.088538954"," 0.288705686"," 0.178879275"," 0.061788839","-1.431511633"," 1.06552364","-0.17060861","-0.4493682027"," 0.582481744","-1.340229878"," 0.275634124",3,3,"ML_7"
"ML_7_H10"," 0.031672403"," 0.1724441142"," 0.524149613"," 0.139039447"," 0.08123839","-0.2747661171"," 0.086076006","-0.033275404","-0.30242917","-0.175881966","-1.054402680"," 0.183289684","-0.1957586508"," 0.174593065","-0.3247481731","-0.003535110","-0.2374962483"," 0.1843105404","-0.2063724754","-0.337114917"," 4.539324e-01","-0.388755047"," 0.157783973","-0.276358637"," 0.37150330"," 0.2760991668"," 0.185330504"," 0.500826981","-0.274954461","-0.5484978908","-0.548587735"," 0.145643374"," 0.5511083398"," 0.151650875"," 0.2175497138","-0.009101820","-0.478288216","-0.4683064524","-0.10527476"," 0.733700962"," 0.136375274","-0.348379772","-0.222652729","-0.978989767"," 0.77627082","-0.92994468","-0.1344287938"," 0.156777254"," 0.141801370","-0.128382346",3,3,"ML_7"
"ML_7_H12","-0.028342590"," 0.2591594301"," 0.628812140","-0.050343382"," 0.22960901","-0.3414145025"," 0.448609755"," 0.535274022"," 0.35387250","-0.384393744","-0.156674206"," 0.755070629","-0.4631786043"," 0.066215694"," 0.0822666350"," 0.061291746","-0.5427259642"," 0.0746798670","-0.1908030118","-0.476772136","-6.821059e-01","-1.011323619","-0.027133642","-0.397939154"," 0.45639820"," 0.1772353603"," 0.442428423"," 0.640940266","-0.047732224","-0.6807252428","-0.199413729"," 0.080958335","-0.1249478058"," 0.004536496"," 0.1958248820","-0.356291871","-0.751825418"," 0.1286513001","-0.52076610"," 0.631431704","-0.317279252","-0.604580846","-0.081559305","-0.897047192"," 0.40671557","-1.17170855"," 0.0947055727"," 0.146444016"," 0.660400461","-0.284297859",3,3,"ML_7"
"W7_H1","-0.140843916"," 0.2964183554"," 0.272460873"," 0.132075541"," 0.64868785","-0.7087479143","-0.016755884","-0.749701102","-0.36332656"," 0.807761029","-0.992117345","-0.388437860"," 0.2209538514","-0.204202152","-0.7063288271"," 0.211715495","-0.1878993118","-0.0111713572","-0.5751424838","-0.331481922"," 3.147473e-01","-1.084926195","-0.661416105","-0.559934288"," 0.07777226"," 0.2080354840"," 0.652005618"," 0.947096710","-0.624292593","-0.1930346813","-0.455464166"," 0.409749011"," 0.5493379421","-0.028751898"," 0.5977828532","-0.264769471"," 0.274411544","-0.0885692099","-0.11248898"," 0.263039443","-0.242613613","-0.242860869","-0.193584620","-1.010132184"," 0.84735436","-0.69771142","-0.3804300616","-0.026694162","-0.396161857","-0.013618220",4,3,"W_7"
"W7_H2","-0.069354853"," 0.1315569817","-0.063880937"," 0.100645107"," 0.47303657","-0.8263906304","-0.355793551","-0.138785902","-0.25669122"," 0.256503499","-1.219707354","-0.059029904"," 0.4037940954","-0.026893470","-0.5211361717"," 0.497376450","-0.2868656224","-0.0763029164","-0.5646793548","-0.111614497"," 1.513914e-02","-1.070485528","-0.696427515","-0.410918391"," 0.29534199","-0.3603994182"," 0.632197550"," 1.079974168","-0.483412147","-0.2324482837","-0.297243333"," 0.411743303"," 1.0097230531"," 0.169751743"," 0.7961877091","-0.287633960","-0.201652923"," 0.1173286889","-0.41885394","-0.003490041","-0.042795804"," 0.295927212","-0.529184271","-0.838623173"," 0.42858028","-0.89394718","-0.3289698029","-0.190968262","-0.042118303"," 0.110691176",4,3,"W_7"
