X;CycTP1;CycTP1.2;CycTP2;CycTP3;CycTP3.2;CycTP4;CycTP5;CycTP5.2;CycTP6;CycTP1c;CycTP1.2c;CycTP2c;CycTP3c;CycTP3.2c;CycTP4c;CycTP5c;CycTP5.2c;CycTP6c
PF3D7_0917400;0.177372779;-0.002886587;-0.346771062;-0.110880044;-0.338325136;-0.146599259;0.089656614;0.173580159;0.566228618;0.510420015;-0.024160203;0.449580714;0.590933656;0.476542919;-0.199068849;0.298364097;-0.003478878;-0.316501157
PF3D7_0917500;1.944739418;1.664441086;1.932102279;1.736942652;2.061258888;1.981616566;1.550125785;1.89772302;1.576503229;0.734668177;0.95601998;0.758943235;0.134763518;0.313662828;0.196656178;-0.428292554;-0.270441;-0.339042881
PF3D7_0917600;-0.932427955;-1.03238766;-0.920235212;-0.951430137;-0.858649249;-0.804239721;-0.588600788;-0.745396934;-0.80921178;-0.228649063;-0.057249153;-0.234520819;-0.16402706;-0.0305737;-0.745252086;-0.034488273;-0.171979027;0.33331789
PF3D7_0917800;-0.763641352;-0.617201981;-0.514201693;-0.539032556;-0.165205288;-0.286462562;-0.471230047;-0.329450531;-0.426271555;-0.624665865;-0.53098018;-0.593440952;-0.266233256;-0.262457161;0.196240328;-0.014965563;-0.021978414;-0.130662469
PF3D7_0917900;0.530549151;0.5048515;0.29252173;0.769856916;0.803749129;0.613298614;0.58789722;0.698031402;0.74814587;0.537685871;0.440726945;0.62670182;0.207497014;0.08415819;0.2960198;0.049959924;-0.006091784;0.045322583
PF3D7_0918200;1.126504994;1.151521288;1.28988791;1.496945591;1.351467273;1.603431001;0.672285423;0.929755732;1.252846918;-0.164598575;-0.09443328;-0.059502736;-0.324240298;-0.32993752;0.137103641;-0.135425987;-0.240177652;-0.539729508
PF3D7_0918300;-0.149337959;-0.079194324;-0.04392771;-0.243516797;-0.229662387;-0.135578454;-0.254669798;-0.107855235;-0.290280356;-0.193237738;-0.01858258;-0.189779406;-0.210290531;-0.173313081;0.178941703;0.143697998;0.378513698;0.182186627
PF3D7_0918600;0.722923004;0.890455444;0.982772687;0.44561614;0.517111873;0.590863307;0.164977057;0.444434815;0.444549603;-0.010441271;-0.096168425;-0.055400272;0.383686659;0.214311791;-0.191939443;-0.170216498;-0.312679727;-0.239243818
PF3D7_0918700;0.877482232;0.927334642;0.796943882;1.488192728;1.339131585;1.288338711;0.7469808;1.031478096;1.864255734;0.928536198;0.85148743;1.017346055;1.609464236;1.423540856;3.124756316;1.518217916;1.462487991;2.016970398
PF3D7_0918800;-1.049007462;-1.1842080145;-1.212824529;-1.000002265;-1.0132228615;-1.0629896275;-0.809185389;-0.7449361475;-1.408368894;-0.3266910755;-0.378599648;-0.1722972215;0.116458342;0.067321549;-0.2029193365;0.1592993275;0.2630165165;0.446270321
PF3D7_0919000;0.084152311;0.059153491;0.075434983;-0.25400605;-0.056515776;0.043989255;0.337162368;0.354516744;0.098079324;-0.487348826;-0.485344859;-0.32831073;-0.623672026;-0.424442763;-0.026479232;-0.110000394;0.118895359;-0.169431606
PF3D7_0919800;0.181053955;-0.223869988;-0.11494737;-0.205126713;-0.1277823;0.154988559;-0.787754659;0.27631686;0.240045038;0.925291065;0.781705956;1.129945642;0.447915605;0.280944735;-0.193294806;-0.591846325;-0.781130818;-0.412620845
PF3D7_0919900;0.32409539275;0.23603569425;0.530528204;0.399462577;0.2917012755;0.20394816375;0.549872398;0.6129700365;0.625389159;0.63179269725;0.86579954325;0.48747792025;0.26215591525;0.61609220025;-0.541914183;-0.9553848455;-0.947652888;-0.60851969125
PF3D7_0920200;0.326051202;0.35241206;0.3854416515;0.3708923815;0.228633301;0.1511998265;0.3449795635;0.603034078;0.135705577;-0.0735094835;-0.0758476275;-0.028313875;-0.277118305;-0.3445252445;-0.5522160075;-0.1245552445;-0.2962559725;-0.2150031275
PF3D7_0920500;1.8291488645;1.913852668;1.929559564;2.38393278;2.2763480305;2.360014583;1.608958659;2.1037684285;1.8655076605;1.5183105195;1.5936874815;1.6212184595;1.3402213305;1.1054631895;1.7264947295;1.1619096645;1.1733187345;0.7983039685
PF3D7_0920700;0.449254897;0.594996187;0.656490923;0.6010949;0.395837344;0.385550284;0.536813737;1.09472158;0.714896831;0.795946264;0.699184901;0.347545392;0.361753394;0.45656349;0.25093376;0.049456531;0.141934343;0.349287452
PF3D7_0921600;-0.212316955;-0.613235315;-0.407389907;-0.443193686;-0.589102139;-0.762748155;-0.25370919;-0.282950317;-0.444397569;0.255984656;0.300317286;0.003391215;-0.091043423;0.101561744;-0.321007061;0.229710222;0.265554095;0.417463872
PF3D7_0921800;0.061116035;-0.037189887;0.063206738;-0.314715288;-0.286971968;-0.059857322;-0.446316238;-0.371764722;-0.146565041;-0.252768308;-0.565185472;-0.278055771;-0.3259986;-0.2701627;0.232429398;0.527350511;0.591009499;0.216835514
