"","MAL13P1.124","MAL13P1.179","MAL13P1.206","MAL13P1.262","MAL7P1.171","MAL7P1.18","MAL7P1.75","MAL7P1.94","PF07_0074","PF10_0111","PF10_0374","PF11_0079","PF11_0087","PF11_0162","PF11_0214","PF11_0260","PF11_0290","PF11_0435","PF13_0032","PF13_0095","PF13_0170","PF13_0219","PF14_0071","PF14_0112","PF14_0593","PF14_0642","PF14_0713","PF14_0730","PFA0330w","PFB0295w","PFB0920w","PFC0090w","PFC0400w","PFC0760c","PFD0470c","PFE0165w","PFE0430w","PFE0450w","PFE0815w","PFE1280w","PFE1340w","PFE1390w","PFF0200c","PFF0875w","PFF0965c","PFF1150w","PFF1280w","PFL0580w","PFL2055w","PFL2200w","D_class","Class","Compound"
"W7_H4"," 0.626128179","-0.2755502495"," 1.05205749","-0.2427296339","-0.1344862559"," 0.754698487","-0.292562450","-0.097420120","-0.077716981"," 0.649738805"," 0.651522919","-0.786596017"," 1.093298937"," 0.454964639"," 0.625547528","-1.5543827036"," 0.215464833"," 0.930868101","-0.318024728"," 0.52413452"," 0.116438661","-0.460690752","-0.3049667113","-6.513317e-01"," 0.7299856759"," 0.851228884"," 0.116141802","-0.852083801"," 0.017734237","-0.9661500880","-1.129833463","-0.365511050","-1.408097371"," 0.357363991"," 1.757089749","-0.222041401","-0.465039353","-0.025494322"," 0.184211039","-0.860144089"," 1.786248e-01","-0.5268126795"," 0.07580071","-0.6989806146","-0.034601336"," 0.063941046","-0.581497729"," 0.536567349","-0.205017875"," 0.64409164",4,3,"W_7"
"W7_H6"," 0.406088887","-0.1207505982"," 1.05244464"," 0.1450520528"," 0.0005939862"," 0.102996343"," 0.045461588"," 0.085618731","-0.572936898"," 0.120363975","-1.352267331","-0.619697742"," 0.321600182"," 0.054485484"," 0.499516606","-0.6289057697"," 0.006864363"," 1.010274245","-0.282130517"," 0.67892845"," 0.699508379","-0.655646445","-0.0365299371","-4.168990e-01"," 0.3996933173","-0.486872928","-0.366173163","-1.216671977","-0.184015978","-0.7384327597","-1.482456116","-0.327253364","-0.774093755"," 0.201548776"," 1.275041600","-0.074398425","-0.349035253","-0.075711904","-1.392801471"," 0.044447831"," 7.348697e-01","-1.3557794062","-0.09543778","-0.2557164451"," 0.001115655"," 0.107752384","-0.331657167"," 0.362255515"," 0.456161128"," 0.72326249",4,3,"W_7"
"W7_H8"," 0.768881766","-0.3250341949"," 1.18058197","-0.3372981832","-0.5632764211"," 1.092836318","-0.128367014","-0.280976043"," 0.063728089"," 0.581308260"," 0.640287957","-0.269592076"," 1.545339756"," 0.370578327"," 0.612621308","-1.7278072132"," 0.151754048"," 0.497128177","-0.010779895"," 0.86882560"," 0.108724481","-0.927424375","-0.6824345593","-7.784649e-01"," 0.8755045709"," 1.003989173"," 1.152410138","-1.239010220"," 0.071396871","-0.9412280766","-1.120226781","-0.687618824","-1.671028126"," 0.499898922"," 1.973724075","-0.150300263","-0.562912150"," 0.067872431","-0.391026047","-0.703375258","-4.264894e-01","-0.8669825930","-0.15501034","-0.5431188669"," 0.162043656","-0.125613237","-0.639988186"," 0.720643913","-0.596373724"," 0.57377861",4,3,"W_7"
"W7_H10"," 0.068050143","-0.2929938119"," 0.78224387"," 0.1127308532","-0.1180141418"," 0.103086442","-0.758148177","-0.410422505"," 0.580041291"," 0.500075179"," 0.141733598"," 0.431891569"," 0.583489041","-0.511612236","-0.299062334","-0.9229809698"," 0.352786278"," 0.162470247"," 0.137057638"," 0.04001783","-0.034135851"," 0.178964209"," 0.2824104965","-1.369292e-01"," 0.1544511711"," 1.018942589","-0.083385703","-0.626489005","-0.573124984","-0.9440550734","-0.944428485","-0.369305800","-1.042046723","-0.154633021"," 0.110424416","-0.659424167","-0.364422979","-0.411608131","-0.194258044"," 0.013698317"," 2.457125e-01","-0.5057807920","-0.12448520","-0.2861795928"," 0.566730926"," 0.265138970","-0.113160805"," 0.600901893"," 0.319523105"," 0.20285799",4,3,"W_7"
"W7_H12"," 0.226112742","-0.4466425083"," 0.75318358"," 0.2778749671","-0.2903239078"," 0.488418735","-0.033804866","-0.307126160"," 0.372018864"," 0.225449479"," 1.277160916"," 0.078062445"," 0.892704211"," 0.120982976","-0.173511093","-0.8929614097"," 0.136241915"," 0.438123692","-0.099433582"," 0.02111293"," 0.222782763","-0.409250331","-0.2128845858","-3.364588e-01"," 0.5046630668"," 0.725791375","-0.113723835","-0.974418189","-0.116703648","-0.6881613844","-1.101935602","-0.337020270","-1.284844311"," 0.121430153"," 1.238355113","-0.745848850","-0.496387639"," 0.058639805"," 0.252681375","-0.509766225","-1.203511e-01","-0.4667522154","-0.32104685","-0.4343693802"," 0.400707881","-0.180346920","-0.501379156"," 0.837012238","-0.241735475"," 0.11710607",4,3,"W_7"
"Staurosporine_H1"," 0.151460335"," 0.4863817385"," 0.53638397"," 0.0730580830"," 0.0235254814"," 0.296171209","-0.193231874"," 0.120273950"," 0.426362602"," 0.789366495"," 0.020725293","-1.017808819"," 0.686725096"," 0.605947479"," 0.147652696"," 0.0365342693"," 1.460407789"," 1.013402912","-1.206067988"," 1.15366070"," 1.006196741","-0.184392933","-0.1200778847","-7.874631e-01"," 0.2180301372","-0.068172860"," 0.007658657","-0.535738125"," 1.153872225","-0.2183534513","-0.209142034"," 0.020260163"," 0.482262193"," 0.642098552"," 0.757715046","-0.069386369"," 0.365375641","-0.043726844"," 0.151440897","-0.112724108"," 5.127875e-01","-0.0243415011"," 0.67751398","-0.0471356010","-1.081005648","-0.639373929"," 0.157947241"," 0.457207086"," 0.769998250","-0.07316901",5,4,"Staurosporine"
"Staurosporine_H2"," 0.132678321"," 0.4797870090"," 0.37597378","-0.0310216916"," 0.2617060543"," 0.076172397"," 0.349711550"," 0.586765314"," 0.370233242"," 0.657056731"," 0.017285295","-1.332148220"," 0.729637790"," 0.504010456"," 0.265198102","-0.1373940486"," 0.861945691"," 1.237952525","-0.566839326"," 1.25066355"," 0.787813777"," 0.059368713","-0.6657257516","-1.081739e+00"," 0.4211562508"," 0.032676219"," 0.289219962"," 0.054509790"," 1.353953203","-0.4935007031"," 0.144078722","-0.353749425"," 0.285278172"," 0.717914894"," 1.021308508","-0.678905998"," 0.272991102"," 0.250673951"," 0.317328423"," 0.021000156"," 5.792641e-02","-0.1845435482"," 0.64575449"," 0.1870706989","-1.336130921","-0.654481885","-0.002503440"," 0.485632274"," 0.007393349"," 0.33914833",5,4,"Staurosporine"
"Staurosporine_H4"," 0.070029021"," 0.2779781282"," 0.39719160","-0.3184632960"," 0.3375863893"," 0.119129146","-0.014190384"," 0.145686841","-0.240336131"," 0.279819223"," 0.331399243","-1.223104318"," 0.250792411"," 0.534219067"," 0.471978313","-0.4618153994"," 1.161689356"," 1.136284958","-0.854097290"," 0.81664872"," 0.040710175"," 0.190361859","-0.1888429674","-8.277430e-01"," 0.1231651563"," 0.018109113"," 0.246538131"," 0.189883561"," 0.518785550","-0.7623583925"," 0.244426466","-0.273776312","-0.149159395"," 0.357491501"," 0.226353240","-0.475326381"," 0.538124241"," 0.270970535","-0.050962039","-0.358278416"," 1.075813e-01"," 0.0606282179"," 0.39755102","-0.3821245094","-0.967642259","-0.075129010","-0.189312340","-0.133268171","-0.033081473"," 0.21192037",5,4,"Staurosporine"
"Staurosporine_H6"," 0.004952358"," 0.3059940113"," 0.42194562"," 0.1325624515"," 0.5560368841","-0.477440749"," 0.726477845"," 0.543559474","-0.498057607","-0.078870589","-1.441187445","-0.965163038","-0.035653705"," 0.151663511"," 0.080480947"," 0.1208793291"," 0.537737357"," 1.196854755","-0.747216872"," 1.17072821"," 0.862047247"," 0.157245306","-0.3610452682","-7.830628e-01","-0.1293076525","-1.035592702","-0.295401476","-0.199775669"," 0.713391563","-1.0872605947","-0.429865893","-0.252464474"," 0.553467512"," 0.414686697"," 0.393991919","-0.643867048"," 0.484629473"," 0.349684506","-0.726345133"," 0.204268255"," 5.877940e-01","-0.3164742993"," 0.42966816"," 0.0460219198","-1.140527846","-0.459016158","-0.085121963"," 0.032626463"," 0.673245384"," 0.76930610",5,4,"Staurosporine"
"Staurosporine_H8"," 0.061963673"," 0.1557445791","-0.44714879"," 0.0537055418"," 0.3198252662","-0.300427346"," 0.278448001"," 0.115849479"," 0.769032497"," 0.159155708"," 0.240194830","-0.552776967"," 0.758179593","-0.257051900"," 0.091222885"," 0.3388174101"," 0.303479340"," 0.673566141","-0.851538678"," 0.94778864"," 0.278119217","-0.366620721","-0.1497320255","-2.587804e-01","-0.3384177957"," 0.219941083"," 0.052918418","-0.054009186"," 0.509465367","-1.0511837590"," 0.111421384","-0.885241049"," 0.390404870"," 0.242672638"," 0.035410037","-1.387439523"," 0.538611887"," 0.602222545","-0.129192750","-0.336397912"," 9.808222e-02"," 0.2933269556"," 0.47270778"," 0.0625030871","-1.104322484"," 0.104828261"," 0.033992027","-0.105976309","-0.046963207"," 0.07658413",5,4,"Staurosporine"
