X;MMV_43TP1;MMV_43TP2;MMV_48TP1;MMV_48TP2;MMV_TP1c;MMV_TP2c
PF3D7_0110800;0.0925693495;-0.0825714515;0.048312682;-0.1841083335;0.1018186335;-0.107811693
PF3D7_0110900;0.006802288;-0.451209904;-0.372656801;-0.340112123;-0.800849311;-0.101121296
PF3D7_0111000;-0.191575666;-0.23283682775;0.5614434106;-0.17265035775;0.0869654856;-0.6375256286
PF3D7_0111200;-0.122431706;-1.165730975;0.33697985;-1.143671922;-0.100182851;-0.630321156
PF3D7_0111300;-0.46854128425;-1.56086933975;0.77143883375;-1.29784000925;0.734949935;-0.8799532705
PF3D7_0111400;-0.257264959333333;-0.919208786;-0.235719163333333;-0.974252238333333;0.305438235;-0.634030598333333
PF3D7_0111500;0.525145818;-0.7579372175;0.542214064;-0.472564221;0.1658849755;0.4187712095
PF3D7_0111600;0.392252895;-0.230809667;0.469010646;-0.295644454;0.142049919;0.046070484
PF3D7_0111700;0.815348733;0.827664633;0.485692276;0.780277413;0.146359544;0.813604367
PF3D7_0111800;0.7595678925;0.208227429;0.1396533935;0.2751290565;-0.033765061;0.1733657105
PF3D7_0111900;0.606985511;0.163301518;0.20122003;0.080352895;-0.394502925;0.387303779
PF3D7_0112000;0.2922780615;0.5136541005;-0.410089936;0.4455428565;-0.703586175;0.3786321165
PF3D7_0112100;0.530412711;1.436164117;0.031635962;1.114940643;-0.176963513;0.962124248
PF3D7_0112200;1.24984885866667;-0.730350705333333;0.364829506;-0.230975561333333;-0.467279227833333;0.307021049333333
PF3D7_0112800;-0.008732624;0.520212809;0.13500068;0.181914523;0.437304814;0.193909516
PF3D7_0112900;0.511078046;-0.99522816;-0.039035847;-0.939267218;-0.454584464;-0.483818029
PF3D7_0113100;0.5441957774;0.605497594;-0.3748694815;0.2965503068;-0.4653210455;-0.287992068
PF3D7_0113200;0.81506398;-0.629859183;0.118981368;-0.157872406;-0.562661775;0.0489248205
PF3D7_0113300;-0.234562541;1.4831243285;-0.8593709945;1.146225404;-0.5878090565;1.208271392
PF3D7_0113400;0.566493529;0.017483408;-0.280293064;0.329023815;-0.1858984525;0.236936103
PF3D7_0113600;-0.1482525955;0.425097518;-0.2898454496;0.138054622166667;0.3329558276;-0.0456467743333333
PF3D7_0113700;0.187459661;0.907991967;-0.987693842;1.0587962445;-1.549341918;0.869944589
PF3D7_0113800;0.199297858428571;0.726435384857143;-0.359952801;0.686106341;0.112401813857143;0.5234167404
PF3D7_0113900;-0.407817781;1.422467471;-0.909082389;1.204698909;-1.437017064;1.188596738
PF3D7_0114000;0.41592002825;1.0402577795;-0.38049075125;0.45165501375;-0.24896043175;0.201932493
PF3D7_0114100;1.560413552;-0.315070712;-0.39269958;0.021832225;-1.509973189;1.391313207
PF3D7_0114500;-0.123230171;-0.732064414;-1.514240877;-0.299467766;-2.486667346;0.001816466
PF3D7_0114800;1.610633514;0.978451769;-0.793488502;1.571112973;-0.316837922;2.171692423
PF3D7_0114900;0.245055628;1.626545957;-0.65759527;1.102858919;-0.531663517;1.077372928
PF3D7_0115700;-0.1803763415;1.09224115325;-0.175106014;1.0628922155;1.223710572;0.234461801
PF3D7_0200100;-0.182849644666667;1.380333015;-0.8081003555;1.204462466;-0.4815062595;0.520995647333333
PF3D7_0201500;-0.457995168;-0.415675899;-1.105911659;-0.291862559;-1.234739969;0.357586946
PF3D7_0201600;-0.2699574075;0.6247998105;-1.773369513;0.588849533;-2.943058013;0.5688555105
PF3D7_0201700;-2.01977863566667;0.761134773;-2.515479498;0.588000187333333;-1.57714487666667;0.710011570666667
PF3D7_0201800;-0.0923443245;0.6544342755;-1.775993087;0.9481476235;-2.7800156335;0.9297386735
PF3D7_0201900;0.744094886142857;0.9283882018;-1.53778842528571;0.7308900448;-2.41442399814286;-0.200434329714286
PF3D7_0202100;-1.923875913;-1.710208853;-0.78531637;-1.611185407;1.385920292;-1.356794592
PF3D7_0202200;-2.138529994;0.352997059;-2.310985526;0.540230719;-1.51393404;0.547052519
