;variable;relative_importance;scaled_importance;percentage
302;PFI0550w;0,017622573;0,034621837;0,000389184
303;PFL0255c;0,017530018;0,03444;0,00038714
304;PF14_0097;0,017505436;0,034391705;0,000386597
305;MAL13P1.343;0,017447241;0,034277375;0,000385312
306;PF14_0295;0,017441713;0,034266513;0,000385189
307;PFL1430c;0,017437806;0,034258838;0,000385103
308;PFI0570w;0,017434141;0,034251637;0,000385022
309;PFD0685c;0,017403056;0,034190567;0,000384336
310;PFE0850c;0,017331515;0,034050016;0,000382756
311;PF11_0437;0,017320074;0,034027538;0,000382503
312;MAL13P1.344;0,017305261;0,033998436;0,000382176
313;PFB0380c;0,017235727;0,033861827;0,00038064
314;PFF0115c;0,017227015;0,033844712;0,000380448
315;PF11_0039;0,017225524;0,033841782;0,000380415
316;PF11_0087;0,017224372;0,03383952;0,00038039
317;PFE0500c;0,017137668;0,033669178;0,000378475
318;PF14_0025;0,017129893;0,033653903;0,000378303
319;PF11_0352;0,01712439;0,033643091;0,000378182
320;PFE1015c;0,01712076;0,033635959;0,000378101
321;PFA0580c;0,017100583;0,033596319;0,000377656
322;MAL13P1.22;0,017078103;0,033552155;0,000377159
323;PFE0330w;0,017067431;0,033531188;0,000376924
324;PF13_0345;0,01701346;0,033425156;0,000375732
325;PF10_0218;0,016919423;0,033240407;0,000373655
326;PF10_0159;0,016917378;0,033236389;0,00037361
327;PFL2055w;0,016865367;0,033134206;0,000372461
328;PF07_0107;0,016847063;0,033098246;0,000372057
329;PFL1760w;0,016846807;0,033097744;0,000372051
330;PFE1115c;0,016844366;0,033092947;0,000371997
331;PF11_0469;0,016831169;0,033067021;0,000371706
332;PF14_0724;0,016825583;0,033056047;0,000371583
333;PF10_0277;0,01682316;0,033051286;0,000371529
334;MAL7P1.112;0,016807564;0,033020645;0,000371185
335;PF11_0153;0,016805015;0,033015637;0,000371128
336;PFE1100w;0,016798947;0,033003717;0,000370994
337;PFL0815w;0,016792581;0,032991209;0,000370854
338;PF14_0482;0,016728267;0,032864857;0,000369433
339;PFE0430w;0,016692255;0,032794107;0,000368638
340;PF13_0187;0,016672167;0,032754641;0,000368195
341;PF13_0227;0,016655769;0,032722424;0,000367832
342;PF10_0078;0,016641617;0,032694621;0,00036752
343;PF14_0545;0,016593182;0,032599464;0,00036645
344;PF13_0209;0,01659195;0,032597043;0,000366423
345;PFE0520c;0,016590114;0,032593437;0,000366382
346;PF14_0191;0,016573485;0,032560767;0,000366015
347;PF14_0476;0,016572186;0,032558215;0,000365986
348;PFL1545c;0,0165678;0,032549598;0,00036589
349;PFD0945c;0,016546736;0,032508215;0,000365424
350;PF14_0326;0,016525226;0,032465956;0,000364949
351;PF07_0011;0,016444027;0,03230643;0,000363156
352;PFI1500w;0,016427163;0,032273298;0,000362784
353;PFD0790c;0,016419691;0,032258618;0,000362619
354;PFL1485w;0,016392469;0,032205138;0,000362018
355;PFD0840w;0,016383247;0,03218702;0,000361814
356;PFC1011c;0,016362141;0,032145555;0,000361348
357;PF14_0409;0,016361119;0,032143545;0,000361325
358;PFD0670c;0,016352844;0,032127288;0,000361142
359;PFA0290w;0,016349533;0,032120784;0,000361069
360;PF07_0102;0,016336387;0,032094958;0,000360779
361;PF14_0315;0,016332114;0,032086562;0,000360685
362;PFI0180w;0,016297219;0,032018006;0,000359914
363;PF07_0083;0,016287992;0,031999878;0,00035971
364;PF14_0261;0,016284499;0,031993017;0,000359633
365;PF13_0335;0,01627515;0,031974649;0,000359427
366;PFA0480w;0,016270471;0,031965456;0,000359323
367;PFC0755c;0,01624443;0,031914295;0,000358748
368;MAL13P1.19;0,016225793;0,03187768;0,000358337
369;PFL0745c;0,016220517;0,031867315;0,00035822
370;PFE0860c;0,016178212;0,031784202;0,000357286
371;PF07_0117;0,016176632;0,031781097;0,000357251
372;PF13_0351;0,01617124;0,031770505;0,000357132
373;PFB0886c;0,016155171;0,031738935;0,000356777
374;PFF1040w;0,016149665;0,031728117;0,000356655
375;PF11_0336;0,016143363;0,031715736;0,000356516
376;PF14_0618;0,01611584;0,031661664;0,000355908
377;PF14_0059;0,016114473;0,031658978;0,000355878
378;PF10_0121;0,016112567;0,031655233;0,000355836
379;MAL13P1.193;0,016111711;0,031653551;0,000355817
380;PFL1190c;0,016109636;0,031649475;0,000355771
381;MAL13P1.333;0,016108524;0,031647291;0,000355747
382;PFF1240w;0,016104387;0,031639162;0,000355655
383;PF13_0316;0,016093182;0,031617149;0,000355408
384;PF14_0185;0,016074299;0,031580051;0,000354991
385;PFF1385c;0,016071645;0,031574837;0,000354932
386;PFL2125c;0,016068419;0,031568499;0,000354861
387;PFB0875c;0,016060093;0,031552141;0,000354677
388;PF14_0132;0,016032646;0,031498217;0,000354071
389;PFF1155w;0,01599388;0,031422057;0,000353215
390;MAL13P1.132;0,015989109;0,031412685;0,00035311
391;PF10_0323;0,015975466;0,03138588;0,000352808
392;PF07_0091;0,015966847;0,031368948;0,000352618
393;PF14_0159;0,015947317;0,031330579;0,000352187
394;PFI1110w;0,015944957;0,031325942;0,000352135
395;PFI1185c;0,015909001;0,031255302;0,00035134
396;PF10_0331;0,015905327;0,031248084;0,000351259
397;PFI0805w;0,015904663;0,031246779;0,000351245
398;MAL13P1.194;0,015901367;0,031240303;0,000351172
399;PF11_0435;0,015885817;0,031209753;0,000350828
400;PF10_0077;0,015878868;0,031196102;0,000350675
401;PFE1055c;0,015868219;0,031175179;0,00035044
402;PFF0220w;0,015862881;0,031164692;0,000350322
403;MAL13P1.304;0,015853553;0,031146368;0,000350116
404;PF11_0404;0,015841049;0,031121801;0,00034984
405;PF14_0352;0,015840391;0,031120509;0,000349825
