X;HDATP1;HDATP1.1;HDATP2;HDATP2.2;HDATP3;HDATP3.3;HDATP1c;HDATP1c2
PF3D7_0420300;2.024;0.883;1.6415;0.234166666666667;0.216833333333333;0.265;-0.137;0.291666666666667
PF3D7_0420400;NA;-0.615;NA;-0.401;NA;-0.853;NA;NA
PF3D7_0420700;0.229333333333333;-0.700333333333333;-0.09575;-0.1565;-0.10625;0.0816666666666667;-0.111;0.1115
PF3D7_0420900;0.257666666666667;-1.00233333333333;-0.13725;-0.5275;0.08225;0.013;-0.314;-0.137
PF3D7_0421100;0.239;-0.63275;-0.32375;-0.6635;0.11;-0.289;-0.382;0.0413333333333333
PF3D7_0421200;-0.474;-0.409;-0.481;-0.29;-0.389;-0.128;0.266;-0.067
PF3D7_0421300;-0.3875;-1.096;-0.151;-1.43333333333333;0.093;0.1065;0.23525;0.147666666666667
PF3D7_0421500;NA;NA;-0.291;NA;-0.462;-0.417;NA;-0.776
PF3D7_0421600;NA;NA;NA;NA;NA;NA;1.383;NA
PF3D7_0421700;0.272;0.466;0.3785;NA;-0.533;0.0496666666666667;0.0425;-0.041
PF3D7_0421800;0.541;0.232;0.642;0.204;0.265;0.553;0.298;0.355
PF3D7_0421900;NA;0.521;1.731;NA;0.527;NA;NA;NA
PF3D7_0422000;1.727;0.962;1.937;0.62;0.492;0.498;0.14;0.71
PF3D7_0422100;-1.807;-1.0865;-1.318;-0.343;-0.304;-0.187;0.054;0.1995
PF3D7_0422200;1.38885714285714;0.415;1.30671428571429;0.315;0.0198571428571429;-0.039;-0.228428571428571;0.0228571428571429
PF3D7_0422300;4.607;3.851;4.267;3.7165;3.7895;3.9915;-0.212;-0.536
PF3D7_0422400;-0.402;-1.301;-0.137;-0.822;-0.335;-0.402;0.088;-0.104
PF3D7_0422500;-1.1702;-0.2544;-0.688;-0.2064;-0.323;-0.2468;-0.3282;-0.3608
PF3D7_0422600;NA;0.612;0.49;0.241;0.642;0.761;0.558;0.36
PF3D7_0422700;0.1005;-0.1115;-0.404;-0.035;0.027;-0.064;-0.1595;-0.198
PF3D7_0422800;-1.476;-0.45;-1.27;-0.2725;-0.3795;-0.3675;0.1305;0.08
PF3D7_0422900;0.015;0.239;-0.326;NA;0.279;0.277;0.227;0.305
PF3D7_0423000;0.88;0.141;0.343;NA;0.622;0.497;0.372;0.154
PF3D7_0423100;-0.336;-0.126;-0.29;-0.077;-0.134;-0.19;0.257;-0.137
PF3D7_0423200;0.406;0.224;-0.01;0.368;0.427;0.521;0.291;-0.02
PF3D7_0423300;-0.4655;0.436;-0.2995;0.6565;0.3895;0.568;0.082;0.4955
PF3D7_0423400;-0.435;-0.301;0.397;0.417;0.669;0.715;0.443;1.122
PF3D7_0423500;0.213;0.415;0.198;0.44;0.456;0.679;-0.189;0.268
PF3D7_0423600;0.221;0.303666666666667;0.151333333333333;0.395;0.224333333333333;0.236;0.118333333333333;0.059
PF3D7_0423700;0.946;0.808;0.697;0.376;0.569;0.492;-0.161;0.172
PF3D7_0423800;2.2315;1.3225;1.5345;0.6775;1.1015;1.073;-0.1675;0.816
PF3D7_0423900;1.069;1.287;1.13;0.578;0.504;0.623;0.053;0.515
PF3D7_0424000;NA;NA;NA;NA;NA;NA;NA;NA
PF3D7_0424100;1.5565;1.064;1.653;0.683;0.769;0.9635;-0.79;0.7045
PF3D7_0424200;-0.166666666666667;0.424666666666667;0.420666666666667;0.214;0.0375;0.108;-0.507;0.575333333333333
PF3D7_0424300;0.911333333333333;0.266;0.8745;0.24;-0.1475;-0.307;-0.291666666666667;0.745
PF3D7_0424400;1.90033333333333;-0.921;1.2685;1.3595;-0.0276666666666667;0.00675;-0.027;0.1255
PF3D7_0424500;1.5445;-0.0445;1.586;0.032;-0.206;-0.137;0.0495;-0.142
PF3D7_0424600;0.812;0.125;1.067;0.025;0.148;0.268;-0.191;0.298
PF3D7_0424700;1.9545;0.6415;1.067;0.635;0.5275;0.2675;0.28;0.3775
PF3D7_0424800;NA;NA;-0.051;0.108;NA;-0.137;NA;-0.042
PF3D7_0424900;2.211;NA;1.75;0.925;1.381;NA;0.476;0.126
PF3D7_0425000;NA;-0.477;-0.784;-1.264;NA;NA;NA;-0.863
PF3D7_0425100;NA;-0.029;0.783;0.115;-0.158;0.169;0.237;0.249
PF3D7_0425200;NA;-0.022;0.585;NA;NA;0.271;0.334;0.701
PF3D7_0425300;NA;-3.353;0.479;NA;0.008;NA;0.162;0.327
PF3D7_0425400;NA;NA;0.038;NA;NA;-0.177;NA;-0.401
PF3D7_0425500;NA;0.292;0.118;NA;NA;NA;-0.088;-0.339
PF3D7_0425700;NA;NA;NA;NA;-0.528;NA;NA;NA
PF3D7_0425800;-0.238;-0.4533;-0.092325;-0.638;-0.205475;-0.0417083333333333;-0.0645;-0.040625
PF3D7_0425900;0.026;-1.964;0.394;-1.496;0.104;0.113;0.061;0.285
PF3D7_0426000;0.042;0.134;-0.15675;-0.3075;-0.499;0.145;-0.215;0.073
PF3D7_0500100;-0.596;-0.767;-0.5665;-1.606;-0.381333333333333;-0.336666666666667;-0.151;0.153
PF3D7_0500200;0.499;0.217;0.118;0.338;0.099;0.282;0.366;0.387
PF3D7_0500300;0.493;-2.571;0.012;NA;-0.393;-0.051;NA;1.865
PF3D7_0500400;NA;NA;0.035;NA;NA;0.349;NA;NA
PF3D7_0500500;NA;NA;-0.409;NA;-0.349;0.025;0.044;0.048
PF3D7_0500600;0.555;-0.836;0.762;NA;0.56;0.709;NA;NA
PF3D7_0500700;NA;1.11;NA;NA;0.246;NA;NA;-0.354
PF3D7_0500800;0.494666666666667;0.184;0.100666666666667;0.126666666666667;-0.143;-0.115666666666667;-0.306666666666667;-0.726
PF3D7_0500900;0.68;0.351;1.414;-0.0015;0.1885;0.26;-0.281;0.56
PF3D7_0501000;-1.159;-0.395;-0.647;-0.552;-0.995;-0.975;-0.344;-0.515
PF3D7_0501100;1.069;0.5945;1.8365;-0.016;0.208;0.5485;0.2245;0.288
PF3D7_0501200;-0.4225;-0.398;-0.1695;-0.2825;-0.225;-0.236;-0.1505;-0.078
PF3D7_0501300;2.198;0.921;2.223;0.22;0.333;0.366;0.144;0.025
PF3D7_0501400;3.125;1.16433333333333;1.729;1.089;1.43633333333333;1.53033333333333;0.0286666666666667;0.413333333333333
PF3D7_0501500;-0.2315;0.248;0.1875;0.2525;0.669;0.6225;0.182;0.553
PF3D7_0501600;-1.794;0.3145;-0.447;0.1075;0.3745;0.1975;-0.123;0.593
PF3D7_0501700;0.322;-0.687;0.2595;0.228;0.381;0.249;0.438;0.095
PF3D7_0501800;-0.414;-0.0735;-0.325;-0.101;-0.0295;0.1475;-0.3635;-0.3365
PF3D7_0501900;-0.506;-1.266;-0.606;-1.389;-0.12;0.043;0.093;0.321
PF3D7_0502000;NA;-0.339;0.0655;-0.1275;-0.284;-0.205;0.016;-0.3795
PF3D7_0502100;0.126;0.56;0.411;0.172;0.255;0.382;-0.223;-0.388
PF3D7_0502200;0.0955;-0.0815;-0.0185;0.00650000000000001;-0.158;-0.3185;-0.357;-0.2865
PF3D7_0502300;0.46;NA;0.45;NA;-0.043;NA;0.115;NA
PF3D7_0502400;1.5595;0.563;2.2835;0.281;0.216;-0.055;0.2695;0.369
PF3D7_0502500;0.159;NA;0.364;-0.294;-0.373;NA;-0.0675;-0.271
PF3D7_0502700;0.698;0.3585;0.38;0.089;0.381;0.0375;0.354;-0.143
PF3D7_0502800;-1.122;NA;-0.043;-0.084;-0.02;-0.08;0.1;-0.108
PF3D7_0502900;-0.351;-0.021;-0.304;-0.083;-0.206;0.045;0.405;0.108
PF3D7_0503000;-0.184;0.303;-0.448;0.144;0.165;NA;0.157;0.344
PF3D7_0503100;-1.787;-0.825;-1.5845;-0.725;-0.8095;-0.758;0.05;-0.329
PF3D7_0503200;-0.152;0.293;-0.2715;0.1105;0.222;0.192;-0.208;-0.057
PF3D7_0503300;-1.579;-0.404;-0.968;-0.383;-0.442;-0.488;0.056;-0.01
PF3D7_0503400;0.304;0.548;0.272;0.425;0.376;0.276;-0.185;-0.13
PF3D7_0503500;0.016;0.719;0.382;0.3975;0.938;0.316;0.225;0.0045
PF3D7_0503600;1.4995;1.0395;1.9025;0.6065;0.522;0.471;-0.35;0.744
PF3D7_0503800;-1.157;-0.552;-0.914;-0.803;-0.553;-0.706;-0.139;-0.057
PF3D7_0503900;0.1735;-0.393;0.589;-0.1855;-0.297;-0.256;-0.1765;-0.487
PF3D7_0504000;0.6485;-0.186;0.235;-0.07525;-0.15225;-0.02075;-0.20375;-0.202
