"","MAL13P1.124","MAL13P1.137","MAL13P1.256","MAL7P1.75","MAL8P1.123","MAL8P1.132","PF07_0074","PF10_0085","PF10_0152","PF10_0374","PF11_0090","PF11_0162","PF11_0260","PF11_0435","PF11_0438","PF13_0032","PF13_0095","PF13_0137","PF13_0219","PF14_0071","PF14_0112","PF14_0238","PF14_0360","PF14_0499","PF14_0562","PF14_0593","PF14_0713","PF14_0719","PFB0590w","PFB0920w","PFC0090w","PFC0400w","PFD0470c","PFD0545w","PFE0205w","PFE0430w","PFE0450w","PFE0585c","PFE1280w","PFE1390w","PFF0200c","PFF0875w","PFF0965c","PFF1150w","PFF1155w","PFF1280w","PFI1185c","PFI1425w","PFL0580w","PFL0685w","D_class","Class","Compound"
"W7_H4"," 0.626128179"," 0.356811839"," 0.527233699","-0.292562450"," 0.5077640200","-0.0100240855","-0.077716981","-0.542282841"," 0.285282018"," 0.651522919","-0.576484554"," 0.454964639","-1.5543827036"," 0.930868101"," 0.6649799929","-0.318024728"," 0.52413452"," 0.1093948084","-0.460690752","-0.3049667113","-6.513317e-01","-0.170333358"," 0.715230721"," 0.141807970"," 0.53351735"," 0.7299856759"," 0.116141802"," 0.0718323661","-0.477149415","-1.129833463","-0.365511050","-1.408097371"," 1.757089749"," 0.469006997"," 0.880528359","-0.465039353","-0.025494322"," 0.1881171484","-0.860144089","-0.5268126795"," 0.07580071","-0.6989806146","-0.034601336"," 0.063941046"," 0.772636517","-0.581497729","-0.392778585"," 0.105339412"," 0.536567349","-0.388818867",4,3,"W_7"
"W7_H6"," 0.406088887"," 0.090519569"," 0.329618097"," 0.045461588"," 0.2794924302","-0.7023244418","-0.572936898","-0.489473242","-0.038328635","-1.352267331","-0.378842872"," 0.054485484","-0.6289057697"," 1.010274245"," 0.6156655626","-0.282130517"," 0.67892845","-0.1941836059","-0.655646445","-0.0365299371","-4.168990e-01","-0.083233571"," 0.582204159","-0.075121963"," 0.42371125"," 0.3996933173","-0.366173163","-0.2446828579","-0.633111581","-1.482456116","-0.327253364","-0.774093755"," 1.275041600"," 0.445853305"," 0.619286962","-0.349035253","-0.075711904"," 0.2245299257"," 0.044447831","-1.3557794062","-0.09543778","-0.2557164451"," 0.001115655"," 0.107752384"," 0.264419532","-0.331657167","-0.890965661"," 0.545284918"," 0.362255515","-0.462871878",4,3,"W_7"
"W7_H8"," 0.768881766"," 0.580240745"," 0.497834796","-0.128367014"," 0.7646875827"," 0.0587649991"," 0.063728089","-0.814725510"," 0.378085124"," 0.640287957","-0.824134657"," 0.370578327","-1.7278072132"," 0.497128177"," 1.1272764944","-0.010779895"," 0.86882560","-0.0478788966","-0.927424375","-0.6824345593","-7.784649e-01","-0.055623989"," 0.618541382"," 0.401755594"," 1.30264354"," 0.8755045709"," 1.152410138"," 0.2672453705","-0.739164555","-1.120226781","-0.687618824","-1.671028126"," 1.973724075"," 0.499296511"," 1.399031859","-0.562912150"," 0.067872431","-0.1603974309","-0.703375258","-0.8669825930","-0.15501034","-0.5431188669"," 0.162043656","-0.125613237"," 0.961110144","-0.639988186","-0.360786133"," 0.185446413"," 0.720643913"," 0.099556183",4,3,"W_7"
"W7_H10"," 0.068050143","-0.146976331","-0.160934454","-0.758148177"," 0.3750938660"," 0.4208523033"," 0.580041291","-0.944577885"," 0.487188513"," 0.141733598","-0.364798957","-0.511612236","-0.9229809698"," 0.162470247"," 0.3851344335"," 0.137057638"," 0.04001783"," 0.1312699522"," 0.178964209"," 0.2824104965","-1.369292e-01","-0.195992758"," 0.025439732"," 0.022443500"," 0.61327394"," 0.1544511711","-0.083385703"," 0.1752430207","-0.282289079","-0.944428485","-0.369305800","-1.042046723"," 0.110424416","-0.168746833","-0.143635161","-0.364422979","-0.411608131","-0.5036667398"," 0.013698317","-0.5057807920","-0.12448520","-0.2861795928"," 0.566730926"," 0.265138970"," 0.395872956","-0.113160805","-0.637562640","-0.652405328"," 0.600901893"," 0.234110345",4,3,"W_7"
"W7_H12"," 0.226112742"," 0.310847661"," 0.162202143","-0.033804866"," 0.7205595885"," 0.0867501321"," 0.372018864","-0.899939682"," 0.362881825"," 1.277160916","-0.558812508"," 0.120982976","-0.8929614097"," 0.438123692"," 0.5594673471","-0.099433582"," 0.02111293"," 0.2293722206","-0.409250331","-0.2128845858","-3.364588e-01","-0.157771881"," 0.332386531"," 0.392132439"," 0.56402747"," 0.5046630668","-0.113723835"," 0.2337814305","-0.431159423","-1.101935602","-0.337020270","-1.284844311"," 1.238355113"," 0.473936055"," 0.960080763","-0.496387639"," 0.058639805","-0.2217604617","-0.509766225","-0.4667522154","-0.32104685","-0.4343693802"," 0.400707881","-0.180346920"," 0.548284373","-0.501379156","-0.330718058"," 0.131612931"," 0.837012238","-0.063712113",4,3,"W_7"
"Staurosporine_H1"," 0.151460335"," 0.389469770"," 0.723265972","-0.193231874","-0.4278535299","-1.0847930649"," 0.426362602","-0.032082640","-0.005730501"," 0.020725293"," 0.085988870"," 0.605947479"," 0.0365342693"," 1.013402912"," 0.5850795743","-1.206067988"," 1.15366070","-0.0893759857","-0.184392933","-0.1200778847","-7.874631e-01"," 0.085547390"," 0.048974931"," 0.069979702"," 0.07676512"," 0.2180301372"," 0.007658657","-0.9848395293","-0.732406617","-0.209142034"," 0.020260163"," 0.482262193"," 0.757715046"," 0.436017310"," 0.117370324"," 0.365375641","-0.043726844"," 0.3364182634","-0.112724108","-0.0243415011"," 0.67751398","-0.0471356010","-1.081005648","-0.639373929"," 0.714559872"," 0.157947241"," 1.103982619"," 0.207601080"," 0.457207086","-1.099107988",5,4,"Staurosporine"
"Staurosporine_H2"," 0.132678321"," 0.424432971"," 0.540909358"," 0.349711550","-0.2651529450","-1.0736721412"," 0.370233242"," 0.275862708"," 0.635042707"," 0.017285295"," 0.002173771"," 0.504010456","-0.1373940486"," 1.237952525"," 0.2729347203","-0.566839326"," 1.25066355","-0.2381817797"," 0.059368713","-0.6657257516","-1.081739e+00"," 0.183910751"," 0.026837967"," 0.134592273","-0.42127102"," 0.4211562508"," 0.289219962","-0.8229760676","-0.784022835"," 0.144078722","-0.353749425"," 0.285278172"," 1.021308508","-0.011081481"," 0.489175072"," 0.272991102"," 0.250673951"," 0.3786505496"," 0.021000156","-0.1845435482"," 0.64575449"," 0.1870706989","-1.336130921","-0.654481885"," 0.705507545","-0.002503440"," 1.340025593"," 0.511625484"," 0.485632274","-1.222026348",5,4,"Staurosporine"
"Staurosporine_H4"," 0.070029021"," 0.085399162"," 0.153645605","-0.014190384","-0.0771765185","-0.6320348406","-0.240336131"," 0.460182862"," 0.110866646"," 0.331399243"," 0.383418973"," 0.534219067","-0.4618153994"," 1.136284958","-0.1209858340","-0.854097290"," 0.81664872","-0.2008295760"," 0.190361859","-0.1888429674","-8.277430e-01"," 0.568103756","-0.025575086"," 0.396871427","-0.20923508"," 0.1231651563"," 0.246538131","-0.4674614722","-0.493278346"," 0.244426466","-0.273776312","-0.149159395"," 0.226353240"," 0.032359682"," 0.215036657"," 0.538124241"," 0.270970535"," 0.2956434351","-0.358278416"," 0.0606282179"," 0.39755102","-0.3821245094","-0.967642259","-0.075129010"," 0.227740534","-0.189312340"," 0.953237168"," 0.020726438","-0.133268171","-0.735399870",5,4,"Staurosporine"
"Staurosporine_H6"," 0.004952358","-0.140044842"," 0.242045873"," 0.726477845","-0.1586826124","-1.0616116537","-0.498057607"," 0.383746187","-0.152601189","-1.441187445"," 0.331965054"," 0.151663511"," 0.1208793291"," 1.196854755"," 0.1090463732","-0.747216872"," 1.17072821","-0.3173023326"," 0.157245306","-0.3610452682","-7.830628e-01"," 0.271892683"," 0.083337873"," 0.024419776","-0.13593043","-0.1293076525","-0.295401476","-0.9961150914"," 0.103625545","-0.429865893","-0.252464474"," 0.553467512"," 0.393991919"," 0.341960660","-0.149837298"," 0.484629473"," 0.349684506"," 0.4177293111"," 0.204268255","-0.3164742993"," 0.42966816"," 0.0460219198","-1.140527846","-0.459016158"," 0.112646604","-0.085121963"," 0.398353142"," 0.701142172"," 0.032626463","-1.182598426",5,4,"Staurosporine"
"Staurosporine_H8"," 0.061963673","-0.214399778"," 0.043484320"," 0.278448001","-0.0580960128","-0.4289553964"," 0.769032497","-0.459116387"," 0.279563116"," 0.240194830"," 0.115248314","-0.257051900"," 0.3388174101"," 0.673566141"," 0.0008764602","-0.851538678"," 0.94778864","-0.0588640900","-0.366620721","-0.1497320255","-2.587804e-01"," 0.583408874","-0.641359875"," 0.018263401"," 0.72800398","-0.3384177957"," 0.052918418","-0.7225626017","-0.186654265"," 0.111421384","-0.885241049"," 0.390404870"," 0.035410037"," 0.260022645","-0.061848180"," 0.538611887"," 0.602222545"," 0.0240743302","-0.336397912"," 0.2933269556"," 0.47270778"," 0.0625030871","-1.104322484"," 0.104828261"," 0.128946823"," 0.033992027"," 1.496049064"," 0.084762530","-0.105976309","-0.585252856",5,4,"Staurosporine"
